Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Filter_time,Iteration_time
1,exp_0_zmin_50_k_50_i_10,2025-08-12 01:01:16,146723.38,97,inf,0.402,0.1236,67.4847,0.0033,68.0147
2,exp_0_zmin_50_k_50_i_10,2025-08-12 01:02:24,146618.55,126,104.83,0.4143,0.1048,106.6895,0.0021,107.2198
3,exp_0_zmin_50_k_50_i_10,2025-08-12 01:04:11,146618.55,148,0.0,0.4522,0.1163,135.4241,0.0067,136.0026
4,exp_0_zmin_50_k_50_i_10,2025-08-12 01:06:28,146295.99,186,322.56,0.8566,0.2363,110.0159,0.0029,111.1199
5,exp_0_zmin_50_k_50_i_10,2025-08-12 01:08:18,146295.99,210,0.0,0.5625,0.1552,232.4804,0.0037,233.2029
6,exp_0_zmin_50_k_50_i_10,2025-08-12 01:12:12,146295.99,244,0.0,0.6042,0.0925,158.8423,0.0,159.5401
7,exp_0_zmin_50_k_50_i_10,2025-08-12 01:14:51,146295.99,280,0.0,0.6687,0.1088,200.3272,0.0043,201.1105
8,exp_0_zmin_50_k_50_i_10,2025-08-12 01:18:13,146295.99,288,0.0,0.8988,0.1407,125.39,0.0016,126.4315
9,exp_0_zmin_50_k_50_i_10,2025-08-12 01:20:19,146295.99,308,0.0,0.7488,0.1123,105.5161,0.0025,106.3798
10,exp_0_zmin_50_k_50_i_10,2025-08-12 01:22:05,146295.99,336,0.0,0.8091,0.1218,138.4788,0.0023,139.412
11,exp_0_zmin_50_k_50_i_10,2025-08-12 01:24:25,146078.97,360,217.02,0.8353,0.1055,100.9296,0.0041,101.8745
12,exp_0_zmin_50_k_50_i_10,2025-08-12 01:26:07,146078.97,385,0.0,0.9083,0.0919,93.8473,0.005,94.8598
13,exp_0_zmin_50_k_50_i_10,2025-08-12 01:27:42,146078.97,411,0.0,0.9941,0.1229,85.0091,0.0048,86.132
14,exp_0_zmin_50_k_50_i_10,2025-08-12 01:29:08,146078.97,434,0.0,1.191,0.1361,117.0821,0.009,118.4199
15,exp_0_zmin_50_k_50_i_10,2025-08-12 01:31:06,146078.97,484,0.0,1.17,0.1004,125.174,0.0014,126.4464
16,exp_0_zmin_50_k_50_i_10,2025-08-12 01:33:13,146078.97,502,0.0,1.1456,0.1197,73.3325,0.0007,74.5986
17,exp_0_zmin_50_k_50_i_10,2025-08-12 01:34:28,146078.97,528,0.0,1.32,0.1107,86.3999,0.0018,87.833
18,exp_0_zmin_50_k_50_i_10,2025-08-12 01:35:56,146078.97,546,0.0,1.4718,0.1282,153.5491,0.0063,155.1553
19,exp_0_zmin_50_k_50_i_10,2025-08-12 01:38:32,146078.97,563,0.0,2.3787,0.2301,145.6535,0.0037,148.2665
20,exp_0_zmin_50_k_50_i_10,2025-08-12 01:40:59,146078.97,583,0.0,1.4603,0.1299,104.0286,0.0067,105.6256
21,exp_0_zmin_50_k_50_i_10,2025-08-12 01:42:45,146078.97,595,0.0,1.4482,0.0,0.0,0.0,1.4482
