Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Filter_time,Iteration_time
1,exp_1_zmin_50_k_50_i_10,2025-08-12 01:43:02,142755.63,92,inf,0.379,0.1061,75.4923,0.0089,75.9907
2,exp_1_zmin_50_k_50_i_10,2025-08-12 01:44:18,142755.63,121,0.0,0.5571,0.1388,110.0134,0.0029,110.7142
3,exp_1_zmin_50_k_50_i_10,2025-08-12 01:46:09,142755.63,141,0.0,0.4077,0.1514,125.4561,0.0047,126.0216
4,exp_1_zmin_50_k_50_i_10,2025-08-12 01:48:15,142674.99,170,80.64,0.4413,0.1177,156.8761,0.0049,157.44
5,exp_1_zmin_50_k_50_i_10,2025-08-12 01:50:53,142674.99,199,0.0,0.5042,0.1264,130.466,0.003,131.0996
6,exp_1_zmin_50_k_50_i_10,2025-08-12 01:53:04,142674.99,223,0.0,0.5487,0.1058,125.4868,0.003,126.1453
7,exp_1_zmin_50_k_50_i_10,2025-08-12 01:55:10,142670.09,266,4.9,0.6564,0.1226,193.2506,0.0027,194.0343
8,exp_1_zmin_50_k_50_i_10,2025-08-12 01:58:24,142670.09,283,0.0,0.7429,0.1074,106.1625,0.0072,107.0378
9,exp_1_zmin_50_k_50_i_10,2025-08-12 02:00:11,142670.09,310,0.0,0.7087,0.1336,121.226,0.0037,122.0741
10,exp_1_zmin_50_k_50_i_10,2025-08-12 02:02:13,142670.09,337,0.0,0.9529,0.1165,135.4255,0.0044,136.5028
11,exp_1_zmin_50_k_50_i_10,2025-08-12 02:04:30,142666.59,384,3.5,0.9014,0.1396,116.6724,0.002,117.718
12,exp_1_zmin_50_k_50_i_10,2025-08-12 02:06:28,142666.59,407,0.0,1.0248,0.1307,114.2248,0.001,115.3829
13,exp_1_zmin_50_k_50_i_10,2025-08-12 02:08:23,142666.59,416,0.0,0.9555,0.1332,70.8794,0.0098,71.9789
14,exp_1_zmin_50_k_50_i_10,2025-08-12 02:09:35,142666.59,462,0.0,1.1807,0.0,0.0,0.0,1.1824
