Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Filter_time,Iteration_time
1,exp_2_zmin_50_k_50_i_10,2025-08-12 02:09:53,142090.59,91,inf,0.3158,0.1089,63.3535,0.0061,63.7843
2,exp_2_zmin_50_k_50_i_10,2025-08-12 02:10:57,141871.14,125,219.46,0.3535,0.1317,69.7382,0.0084,70.2325
3,exp_2_zmin_50_k_50_i_10,2025-08-12 02:12:07,141871.14,146,0.0,0.3971,0.0964,89.279,0.0021,89.7768
4,exp_2_zmin_50_k_50_i_10,2025-08-12 02:13:37,141871.14,170,0.0,0.4483,0.1173,140.644,0.005,141.2146
5,exp_2_zmin_50_k_50_i_10,2025-08-12 02:15:58,141871.14,220,0.0,0.5567,0.0928,76.6661,0.0061,77.3217
6,exp_2_zmin_50_k_50_i_10,2025-08-12 02:17:15,141790.5,244,80.64,0.6167,0.1079,97.8396,0.004,98.5682
7,exp_2_zmin_50_k_50_i_10,2025-08-12 02:18:54,141790.5,285,0.0,0.7055,0.1052,199.7134,0.003,200.5292
8,exp_2_zmin_50_k_50_i_10,2025-08-12 02:22:15,141790.5,313,0.0,0.744,0.1185,144.5698,0.005,145.4388
9,exp_2_zmin_50_k_50_i_10,2025-08-12 02:24:40,141790.5,330,0.0,0.84,0.1301,96.2332,0.003,97.2082
10,exp_2_zmin_50_k_50_i_10,2025-08-12 02:26:17,141790.5,345,0.0,0.798,0.1109,136.459,0.004,137.3725
11,exp_2_zmin_50_k_50_i_10,2025-08-12 02:28:35,141790.5,383,0.0,0.9104,0.1395,107.9764,0.003,109.0302
12,exp_2_zmin_50_k_50_i_10,2025-08-12 02:30:24,141790.5,404,0.0,0.9026,0.0987,100.8998,0.003,101.9051
13,exp_2_zmin_50_k_50_i_10,2025-08-12 02:32:06,141786.3,426,4.2,0.9889,0.1229,112.662,0.005,113.78
14,exp_2_zmin_50_k_50_i_10,2025-08-12 02:34:00,141786.3,464,0.0,1.2179,0.1057,107.3517,0.002,108.6773
15,exp_2_zmin_50_k_50_i_10,2025-08-12 02:35:48,141786.3,477,0.0,1.1348,0.1078,102.7788,0.003,104.0243
16,exp_2_zmin_50_k_50_i_10,2025-08-12 02:37:33,141786.3,507,0.0,1.1599,0.0,0.0,0.0,1.1609
