Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Filter_time,Iteration_time
1,exp_3_zmin_50_k_50_i_10,2025-08-12 02:37:47,140587.64,90,inf,0.4152,0.0991,80.3911,0.004,80.9104
2,exp_3_zmin_50_k_50_i_10,2025-08-12 02:39:07,140550.77,123,36.86,0.3376,0.107,89.4831,0.003,89.931
3,exp_3_zmin_50_k_50_i_10,2025-08-12 02:40:37,140550.77,148,0.0,0.3759,0.1011,85.3039,0.0065,85.8046
4,exp_3_zmin_50_k_50_i_10,2025-08-12 02:42:03,140550.77,179,0.0,0.4658,0.1107,137.8823,0.0038,138.4646
5,exp_3_zmin_50_k_50_i_10,2025-08-12 02:44:22,140550.77,205,0.0,0.5127,0.0998,257.1555,0.004,257.772
6,exp_3_zmin_50_k_50_i_10,2025-08-12 02:48:40,140550.77,240,0.0,0.5759,0.1154,169.629,0.004,170.3265
7,exp_3_zmin_50_k_50_i_10,2025-08-12 02:51:30,140369.82,282,180.95,0.7285,0.1015,211.312,0.004,212.1484
8,exp_3_zmin_50_k_50_i_10,2025-08-12 02:55:02,140369.82,325,0.0,0.7822,0.1092,159.1979,0.004,160.0949
9,exp_3_zmin_50_k_50_i_10,2025-08-12 02:57:42,140369.82,352,0.0,0.8221,0.1031,129.4952,0.001,130.4227
10,exp_3_zmin_50_k_50_i_10,2025-08-12 02:59:53,140369.82,366,0.0,0.8555,0.1099,124.7561,0.003,125.7255
11,exp_3_zmin_50_k_50_i_10,2025-08-12 03:01:59,140369.82,401,0.0,0.9127,0.1003,84.2249,0.0045,85.2449
12,exp_3_zmin_50_k_50_i_10,2025-08-12 03:03:24,140369.82,440,0.0,1.1054,0.1098,103.6711,0.002,104.8887
13,exp_3_zmin_50_k_50_i_10,2025-08-12 03:05:09,140369.82,461,0.0,1.0303,0.1481,96.0881,0.003,97.2704
14,exp_3_zmin_50_k_50_i_10,2025-08-12 03:06:46,140369.82,488,0.0,1.1481,0.1273,103.3934,0.002,104.6708
15,exp_3_zmin_50_k_50_i_10,2025-08-12 03:08:31,140369.82,506,0.0,1.1842,0.1012,95.5672,0.001,96.8545
16,exp_3_zmin_50_k_50_i_10,2025-08-12 03:10:08,140369.82,513,0.0,1.2644,0.1235,107.3505,0.003,108.7426
17,exp_3_zmin_50_k_50_i_10,2025-08-12 03:11:57,140369.82,538,0.0,1.2976,0.0,0.0,0.0,1.2976
