Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Filter_time,Iteration_time
1,exp_4_zmin_50_k_50_i_10,2025-08-12 03:12:12,144700.24,93,inf,0.2713,0.13,100.917,0.004,101.3237
2,exp_4_zmin_50_k_50_i_10,2025-08-12 03:13:54,144647.82,135,52.42,0.3686,0.1293,86.5922,0.003,87.0947
3,exp_4_zmin_50_k_50_i_10,2025-08-12 03:15:21,144647.82,162,0.0,0.4283,0.102,103.8303,0.004,104.3665
4,exp_4_zmin_50_k_50_i_10,2025-08-12 03:17:05,144647.82,195,0.0,0.4922,0.0943,102.161,0.0024,102.7504
5,exp_4_zmin_50_k_50_i_10,2025-08-12 03:18:48,144647.82,220,0.0,0.5843,0.104,112.3353,0.004,113.0286
6,exp_4_zmin_50_k_50_i_10,2025-08-12 03:20:41,144647.82,259,0.0,0.7429,0.1223,178.2419,0.002,179.1101
7,exp_4_zmin_50_k_50_i_10,2025-08-12 03:23:40,144453.26,278,194.56,0.6821,0.1034,239.2736,0.004,240.0631
8,exp_4_zmin_50_k_50_i_10,2025-08-12 03:27:40,144453.26,311,0.0,0.7413,0.1374,113.0941,0.0035,113.9763
9,exp_4_zmin_50_k_50_i_10,2025-08-12 03:29:34,144453.26,344,0.0,0.8557,0.1002,77.6377,0.003,78.5976
10,exp_4_zmin_50_k_50_i_10,2025-08-12 03:30:53,144453.26,367,0.0,0.9062,0.1003,99.1892,0.003,100.1997
11,exp_4_zmin_50_k_50_i_10,2025-08-12 03:32:33,144453.26,401,0.0,0.9463,0.1086,138.5516,0.002,139.6095
12,exp_4_zmin_50_k_50_i_10,2025-08-12 03:34:53,144453.26,416,0.0,1.0151,0.1024,126.0909,0.004,127.2131
13,exp_4_zmin_50_k_50_i_10,2025-08-12 03:37:00,144453.26,460,0.0,1.0864,0.1044,74.1336,0.004,75.3284
14,exp_4_zmin_50_k_50_i_10,2025-08-12 03:38:16,144453.26,492,0.0,1.3055,0.1146,106.4239,0.003,107.8471
15,exp_4_zmin_50_k_50_i_10,2025-08-12 03:40:04,143665.41,530,787.85,1.2176,0.0954,80.1972,0.004,81.5152
16,exp_4_zmin_50_k_50_i_10,2025-08-12 03:41:25,143665.41,563,0.0,1.2339,0.1289,91.9553,0.003,93.3223
17,exp_4_zmin_50_k_50_i_10,2025-08-12 03:42:59,143665.41,590,0.0,1.5744,0.1036,129.8495,0.006,131.5344
18,exp_4_zmin_50_k_50_i_10,2025-08-12 03:45:10,143665.41,640,0.0,1.5364,0.0905,118.0349,0.005,119.6668
19,exp_4_zmin_50_k_50_i_10,2025-08-12 03:47:10,143665.41,671,0.0,1.6186,0.1008,102.5857,0.0038,104.3248
20,exp_4_zmin_50_k_50_i_10,2025-08-12 03:48:54,143665.41,705,0.0,1.6349,0.0951,74.8565,0.003,76.5905
21,exp_4_zmin_50_k_50_i_10,2025-08-12 03:50:11,143665.41,726,0.0,1.7077,0.1005,103.1335,0.003,104.9446
22,exp_4_zmin_50_k_50_i_10,2025-08-12 03:51:56,143665.41,740,0.0,1.7546,0.1058,81.8432,0.003,83.7066
23,exp_4_zmin_50_k_50_i_10,2025-08-12 03:53:20,143665.41,760,0.0,1.7524,0.0917,129.4341,0.0065,131.2847
24,exp_4_zmin_50_k_50_i_10,2025-08-12 03:55:31,143625.09,809,40.32,1.868,0.1064,122.0629,0.011,124.0493
25,exp_4_zmin_50_k_50_i_10,2025-08-12 03:57:35,143625.09,824,0.0,1.8244,0.0,0.0,0.0,1.8253
