log_ids,experiment_name,step,metric,value
202509071413472050250,reports\1_CG_GA_10,1_initial_solution,solution_generation_time,6.22384524345398
202509071413472050251,reports\1_CG_GA_10,1_initial_solution,total_generated_columns,116.0
202509071413530314210,reports\1_CG_GA_10,2_graph_build,graph_build_time,5.57245397567749
202509071413530314211,reports\1_CG_GA_10,2_graph_build,number_of_nodes,520.0
202509071413530314212,reports\1_CG_GA_10,2_graph_build,number_of_edges,117326.0
202509071415390773420,reports\1_CG_GA_10,3_column_generation,column_generation_time,106.04491543769836
202509071415390773421,reports\1_CG_GA_10,3_column_generation,number_of_iterations,16.0
202509071415390773422,reports\1_CG_GA_10,3_column_generation,start_objective,147434.5043514275
202509071415390773423,reports\1_CG_GA_10,3_column_generation,optimal_value,146619.4643514275
202509071415390773424,reports\1_CG_GA_10,3_column_generation,total_columns_generated,267.0
202509071415390773425,reports\1_CG_GA_10,3_column_generation,total_reduced_cost,-2340433.209282579
202509071424546254790,reports\1_CG_GA_10,4_first_ga,ga_execution_time,555.5357706546783
202509071424546254791,reports\1_CG_GA_10,4_first_ga,best_cost,110135.86408761074
202509071424546254792,reports\1_CG_GA_10,4_first_ga,best_fitness,9.9601593625498
202509071424546254793,reports\1_CG_GA_10,4_first_ga,best_v,75.0
202509071424546254794,reports\1_CG_GA_10,4_first_ga,best_r,10.0
202509071424546254795,reports\1_CG_GA_10,4_first_ga,best_u,61.0
202509071424546254796,reports\1_CG_GA_10,4_first_ga,best_s,32.0
