log_ids,experiment_name,step,metric,value
202509071425064081220,reports\1_CG_GA_11_tmax10_processed_processed,1_1_1_1_initial_solution,solution_generation_time,11.455643892288208
202509071425064081221,reports\1_CG_GA_11_tmax10_processed_processed,1_1_1_1_initial_solution,total_generated_columns,121.0
202509071425137163140,reports\1_CG_GA_11_tmax10_processed_processed,2_2_2_2_graph_build,graph_build_time,7.073497295379639
202509071425137163141,reports\1_CG_GA_11_tmax10_processed_processed,2_2_2_2_graph_build,number_of_nodes,520.0
202509071425137163142,reports\1_CG_GA_11_tmax10_processed_processed,2_2_2_2_graph_build,number_of_edges,117326.0
202509071430045732230,reports\1_CG_GA_11_tmax10_processed_processed,3_3_3_3_column_generation,column_generation_time,290.8559105396271
202509071430045732231,reports\1_CG_GA_11_tmax10_processed_processed,3_3_3_3_column_generation,number_of_iterations,30.0
202509071430045732232,reports\1_CG_GA_11_tmax10_processed_processed,3_3_3_3_column_generation,start_objective,151670.10008003408
202509071430045732233,reports\1_CG_GA_11_tmax10_processed_processed,3_3_3_3_column_generation,optimal_value,149951.76008003473
202509071430045732234,reports\1_CG_GA_11_tmax10_processed_processed,3_3_3_3_column_generation,total_columns_generated,400.0
202509071430045732235,reports\1_CG_GA_11_tmax10_processed_processed,3_3_3_3_column_generation,total_reduced_cost,-10137912.99095951
202509071442376932550,reports\1_CG_GA_11_tmax10_processed_processed,4_4_4_4_first_ga,ga_execution_time,753.1010222434998
202509071442376932551,reports\1_CG_GA_11_tmax10_processed_processed,4_4_4_4_first_ga,best_cost,113650.54503186676
202509071442376932552,reports\1_CG_GA_11_tmax10_processed_processed,4_4_4_4_first_ga,best_fitness,5.537098560354375
202509071442376932553,reports\1_CG_GA_11_tmax10_processed_processed,4_4_4_4_first_ga,best_v,81.0
202509071442376932554,reports\1_CG_GA_11_tmax10_processed_processed,4_4_4_4_first_ga,best_r,51.0
202509071442376932555,reports\1_CG_GA_11_tmax10_processed_processed,4_4_4_4_first_ga,best_u,143.0
202509071442376932556,reports\1_CG_GA_11_tmax10_processed_processed,4_4_4_4_first_ga,best_s,39.0
