log_ids,experiment_name,step,metric,value
202509140225336632010,reports\1_CG_GA_14_tmax15,1_1_initial_solution,solution_generation_time,3.060864448547364
202509140225336632011,reports\1_CG_GA_14_tmax15,1_1_initial_solution,total_generated_columns,112.0
202509140225391866660,reports\1_CG_GA_14_tmax15,2_2_graph_build,graph_build_time,5.330431938171387
202509140225391866661,reports\1_CG_GA_14_tmax15,2_2_graph_build,number_of_nodes,520.0
202509140225391866662,reports\1_CG_GA_14_tmax15,2_2_graph_build,number_of_edges,117326.0
202509140226587052970,reports\1_CG_GA_14_tmax15,3_3_column_generation,column_generation_time,79.51763129234314
202509140226587052971,reports\1_CG_GA_14_tmax15,3_3_column_generation,number_of_iterations,13.0
202509140226587052972,reports\1_CG_GA_14_tmax15,3_3_column_generation,start_objective,144568.7010604736
202509140226587052973,reports\1_CG_GA_14_tmax15,3_3_column_generation,optimal_value,144073.91991201296
202509140226587052974,reports\1_CG_GA_14_tmax15,3_3_column_generation,total_columns_generated,186.0
202509140226587052975,reports\1_CG_GA_14_tmax15,3_3_column_generation,total_reduced_cost,-1401503.344031086
202509140230577212250,reports\1_CG_GA_14_tmax15,4_4_first_ga,ga_execution_time,239.0079207420349
202509140230577212251,reports\1_CG_GA_14_tmax15,4_4_first_ga,best_cost,115799.48506047358
202509140230577212252,reports\1_CG_GA_14_tmax15,4_4_first_ga,best_fitness,11.961722488038276
202509140230577212253,reports\1_CG_GA_14_tmax15,4_4_first_ga,best_v,80.0
202509140230577212254,reports\1_CG_GA_14_tmax15,4_4_first_ga,best_r,0.0
202509140230577212255,reports\1_CG_GA_14_tmax15,4_4_first_ga,best_u,32.0
202509140230577212256,reports\1_CG_GA_14_tmax15,4_4_first_ga,best_s,41.0
