log_ids,experiment_name,step,metric,value
202509071327327775740,6_tmax10,initial_solution,solution_generation_time,10.511821508407593
202509071327327775741,6_tmax10,initial_solution,total_generated_columns,120.0
202509071327397484530,6_tmax10,graph_build,graph_build_time,6.719878673553467
202509071327397484531,6_tmax10,graph_build,number_of_nodes,520.0
202509071327397484532,6_tmax10,graph_build,number_of_edges,117326.0
202509071329290982480,6_tmax10,column_generation,column_generation_time,109.34876012802124
202509071329290982481,6_tmax10,column_generation,number_of_iterations,12.0
202509071329290982482,6_tmax10,column_generation,start_objective,149105.46967798966
202509071329290982483,6_tmax10,column_generation,optimal_value,148444.6543469629
202509071329290982484,6_tmax10,column_generation,total_columns_generated,169.0
202509071329290982485,6_tmax10,column_generation,total_reduced_cost,-1413779.85931054
202509071338143550090,6_tmax10,genetic_algorithm,ga_execution_time,525.2457642555237
202509071338143550091,6_tmax10,genetic_algorithm,best_cost,112037.93493391789
202509071338143550092,6_tmax10,genetic_algorithm,best_fitness,10.2880658436214
202509071338143550093,6_tmax10,genetic_algorithm,best_v,79.0
202509071338143550094,6_tmax10,genetic_algorithm,best_r,6.0
202509071338143550095,6_tmax10,genetic_algorithm,best_u,51.0
202509071338143550096,6_tmax10,genetic_algorithm,best_s,39.0
