log_ids,experiment_name,step,metric,value
202509071402063831710,reports\1_CG_GA_9_tmax10_processed,1_1_1_initial_solution,solution_generation_time,6.445293664932251
202509071402063831711,reports\1_CG_GA_9_tmax10_processed,1_1_1_initial_solution,total_generated_columns,119.0
202509071402122695370,reports\1_CG_GA_9_tmax10_processed,2_2_2_graph_build,graph_build_time,5.678898811340332
202509071402122695371,reports\1_CG_GA_9_tmax10_processed,2_2_2_graph_build,number_of_nodes,520.0
202509071402122695372,reports\1_CG_GA_9_tmax10_processed,2_2_2_graph_build,number_of_edges,117326.0
202509071404227128590,reports\1_CG_GA_9_tmax10_processed,3_3_3_column_generation,column_generation_time,130.44232320785522
202509071404227128591,reports\1_CG_GA_9_tmax10_processed,3_3_3_column_generation,number_of_iterations,19.0
202509071404227128592,reports\1_CG_GA_9_tmax10_processed,3_3_3_column_generation,start_objective,149988.7021813903
202509071404227128593,reports\1_CG_GA_9_tmax10_processed,3_3_3_column_generation,optimal_value,148950.19494970172
202509071404227128594,reports\1_CG_GA_9_tmax10_processed,3_3_3_column_generation,total_columns_generated,304.0
202509071404227128595,reports\1_CG_GA_9_tmax10_processed,3_3_3_column_generation,total_reduced_cost,-2692573.9879071205
202509071413407541530,reports\1_CG_GA_9_tmax10_processed,4_4_4_first_ga,ga_execution_time,558.0282974243164
202509071413407541531,reports\1_CG_GA_9_tmax10_processed,4_4_4_first_ga,best_cost,115492.02738926286
202509071413407541532,reports\1_CG_GA_9_tmax10_processed,4_4_4_first_ga,best_fitness,7.204610951008645
202509071413407541533,reports\1_CG_GA_9_tmax10_processed,4_4_4_first_ga,best_v,78.0
202509071413407541534,reports\1_CG_GA_9_tmax10_processed,4_4_4_first_ga,best_r,39.0
202509071413407541535,reports\1_CG_GA_9_tmax10_processed,4_4_4_first_ga,best_u,93.0
202509071413407541536,reports\1_CG_GA_9_tmax10_processed,4_4_4_first_ga,best_s,32.0
