log_ids,experiment_name,step,metric,value
202510261241506334690,5_tmax15,initial_solution,solution_generation_time,3.402007579803467
202510261241506334691,5_tmax15,initial_solution,total_generated_columns,111.0
202510261241567939090,5_tmax15,graph_build,graph_build_time,5.882760286331177
202510261241567939091,5_tmax15,graph_build,number_of_nodes,520.0
202510261241567939092,5_tmax15,graph_build,number_of_edges,117326.0
202510261244082153400,5_tmax15,column_generation,column_generation_time,131.4214301109314
202510261244082153401,5_tmax15,column_generation,number_of_iterations,18.0
202510261244082153402,5_tmax15,column_generation,start_objective,144421.7792479048
202510261244082153403,5_tmax15,column_generation,optimal_value,143866.03603157494
202510261244082153404,5_tmax15,column_generation,total_columns_generated,308.0
202510261244082153405,5_tmax15,column_generation,total_reduced_cost,-2740104.7160253995
202510261248442757010,5_tmax15,genetic_algorithm,ga_execution_time,276.0477120876312
202510261248442757011,5_tmax15,genetic_algorithm,best_cost,115196.61111358534
202510261248442757012,5_tmax15,genetic_algorithm,best_fitness,8.305647840531561
202510261248442757013,5_tmax15,genetic_algorithm,best_v,79.0
202510261248442757014,5_tmax15,genetic_algorithm,best_r,23.0
202510261248442757015,5_tmax15,genetic_algorithm,best_u,74.0
202510261248442757016,5_tmax15,genetic_algorithm,best_s,37.0
