log_ids,experiment_name,step,metric,value
202509071823144952400,1_tmax10,initial_solution,solution_generation_time,47.00763559341431
202509071823144952401,1_tmax10,initial_solution,total_generated_columns,1734.0
202509071823203281030,1_tmax10,graph_build,graph_build_time,5.805600166320801
202509071823203281031,1_tmax10,graph_build,number_of_nodes,520.0
202509071823203281032,1_tmax10,graph_build,number_of_edges,117326.0
202509071855575655830,1_tmax10,column_generation,column_generation_time,1957.2374804019928
202509071855575665841,1_tmax10,column_generation,number_of_iterations,119.0
202509071855575665842,1_tmax10,column_generation,start_objective,151288.75947505084
202509071855575665843,1_tmax10,column_generation,optimal_value,104355.6396293239
202509071855575665844,1_tmax10,column_generation,total_columns_generated,3039.0
202509071855575665845,1_tmax10,column_generation,total_reduced_cost,-2129843.451329797
202509072022548546730,1_tmax10,genetic_algorithm,ga_execution_time,5217.082532405853
202509072022548596731,1_tmax10,genetic_algorithm,best_cost,210110.46897113931
202509072022548596732,1_tmax10,genetic_algorithm,best_fitness,2.4224806201550386
202509072022548596733,1_tmax10,genetic_algorithm,best_v,143.0
202509072022548596734,1_tmax10,genetic_algorithm,best_r,400.0
202509072022548596735,1_tmax10,genetic_algorithm,best_u,107.0
202509072022548596736,1_tmax10,genetic_algorithm,best_s,57.0
