log_ids,experiment_name,step,metric,value
202509080103342363320,reports\3_pool_GA_CG_GA_1,1_initial_solution,solution_generation_time,4.86408543586731
202509080103342363321,reports\3_pool_GA_CG_GA_1,1_initial_solution,total_generated_columns,119.0
202509080103597107251_pop200,reports\3_pool_GA_CG_GA_1,2_preprocessing_and_transformations,pool_deduplication_run_time,0.001033
202509080103597117220,reports\3_pool_GA_CG_GA_1,1_initial_solution,pool_solution_generation_time,23.92412066459656
202509080103597117221,reports\3_pool_GA_CG_GA_1,1_initial_solution,pool_total_generated_columns,951.0
202509080108307770420,reports\3_pool_GA_CG_GA_1,3_first_ga,ga_execution_time,271.0583531856537
202509080108307770421,reports\3_pool_GA_CG_GA_1,3_first_ga,best_cost,472003.22161245847
202509080108307770422,reports\3_pool_GA_CG_GA_1,3_first_ga,best_fitness,744151.5579560803
202509080108307770423,reports\3_pool_GA_CG_GA_1,3_first_ga,best_v,459.0
202509080108307770424,reports\3_pool_GA_CG_GA_1,3_first_ga,best_r,269.0
202509080108307770425,reports\3_pool_GA_CG_GA_1,3_first_ga,best_u,8.0
202509080108307770426,reports\3_pool_GA_CG_GA_1,3_first_ga,best_s,397.0
202509080108307814771_pop200,reports\3_pool_GA_CG_GA_1,2_preprocessing_and_transformations,combination_deduplication_run_time,0.001002
202509080108365807860,reports\3_pool_GA_CG_GA_1,4_graph_build,graph_build_time,5.557188034057617
202509080108365807861,reports\3_pool_GA_CG_GA_1,4_graph_build,number_of_nodes,520.0
202509080108365807862,reports\3_pool_GA_CG_GA_1,4_graph_build,number_of_edges,117326.0
202509080110235959250,reports\3_pool_GA_CG_GA_1,5_column_generation,column_generation_time,107.0141303539276
202509080110235959251,reports\3_pool_GA_CG_GA_1,5_column_generation,number_of_iterations,12.0
202509080110235959252,reports\3_pool_GA_CG_GA_1,5_column_generation,start_objective,149629.80414786653
202509080110235959253,reports\3_pool_GA_CG_GA_1,5_column_generation,optimal_value,149433.96414786653
202509080110235959254,reports\3_pool_GA_CG_GA_1,5_column_generation,total_columns_generated,209.0
202509080110235959255,reports\3_pool_GA_CG_GA_1,5_column_generation,total_reduced_cost,-4131436.139095881
202509080112355573410,reports\3_pool_GA_CG_GA_1,6_second_ga,ga_execution_time,131.93112206459045
202509080112355573411,reports\3_pool_GA_CG_GA_1,6_second_ga,best_cost,183824.6000331023
202509080112355573412,reports\3_pool_GA_CG_GA_1,6_second_ga,best_fitness,0.0907542477291323
202509080112355573413,reports\3_pool_GA_CG_GA_1,6_second_ga,best_v,149.0
202509080112355573414,reports\3_pool_GA_CG_GA_1,6_second_ga,best_r,52.0
202509080112355573415,reports\3_pool_GA_CG_GA_1,6_second_ga,best_u,19.0
202509080112355573416,reports\3_pool_GA_CG_GA_1,6_second_ga,best_s,96.0
