log_ids,experiment_name,step,metric,value
202509080013522863290,reports\3_pool_GA_CG_GA_4,1_initial_solution,solution_generation_time,4.265684366226196
202509080013522863291,reports\3_pool_GA_CG_GA_4,1_initial_solution,total_generated_columns,120.0
202509080014391393774_tmax10,reports\3_pool_GA_CG_GA_4,2_preprocessing_and_transformations,pool_deduplication_run_time,0.001671
202509080014391404360,reports\3_pool_GA_CG_GA_4,1_initial_solution,pool_solution_generation_time,44.41141486167908
202509080014391404361,reports\3_pool_GA_CG_GA_4,1_initial_solution,pool_total_generated_columns,1735.0
202509080020131126970,reports\3_pool_GA_CG_GA_4,3_first_ga,ga_execution_time,333.95676946640015
202509080020131126971,reports\3_pool_GA_CG_GA_4,3_first_ga,best_cost,624832.6843251678
202509080020131126972,reports\3_pool_GA_CG_GA_4,3_first_ga,best_fitness,15248626.63132467
202509080020131126973,reports\3_pool_GA_CG_GA_4,3_first_ga,best_v,619.0
202509080020131126974,reports\3_pool_GA_CG_GA_4,3_first_ga,best_r,443.0
202509080020131126975,reports\3_pool_GA_CG_GA_4,3_first_ga,best_u,4.0
202509080020131126976,reports\3_pool_GA_CG_GA_4,3_first_ga,best_s,551.0
202509080020131206024_tmax10,reports\3_pool_GA_CG_GA_4,2_preprocessing_and_transformations,combination_deduplication_run_time,0.007905
202509080020187527450,reports\3_pool_GA_CG_GA_4,4_graph_build,graph_build_time,5.428990125656128
202509080020187527451,reports\3_pool_GA_CG_GA_4,4_graph_build,number_of_nodes,520.0
202509080020187527452,reports\3_pool_GA_CG_GA_4,4_graph_build,number_of_edges,117326.0
202509080022124321600,reports\3_pool_GA_CG_GA_4,5_column_generation,column_generation_time,113.67941522598268
202509080022124321601,reports\3_pool_GA_CG_GA_4,5_column_generation,number_of_iterations,13.0
202509080022124321602,reports\3_pool_GA_CG_GA_4,5_column_generation,start_objective,147731.83530776436
202509080022124321603,reports\3_pool_GA_CG_GA_4,5_column_generation,optimal_value,147295.80330776435
202509080022124321604,reports\3_pool_GA_CG_GA_4,5_column_generation,total_columns_generated,315.0
202509080022124321605,reports\3_pool_GA_CG_GA_4,5_column_generation,total_reduced_cost,-2718052.4783412134
202509080032241643280,reports\3_pool_GA_CG_GA_4,6_second_ga,ga_execution_time,611.7203831672668
202509080032241643281,reports\3_pool_GA_CG_GA_4,6_second_ga,best_cost,204872.21977628145
202509080032241643282,reports\3_pool_GA_CG_GA_4,6_second_ga,best_fitness,0.0778555571859963
202509080032241643283,reports\3_pool_GA_CG_GA_4,6_second_ga,best_v,176.0
202509080032241643284,reports\3_pool_GA_CG_GA_4,6_second_ga,best_r,52.0
202509080032241643285,reports\3_pool_GA_CG_GA_4,6_second_ga,best_u,13.0
202509080032241643286,reports\3_pool_GA_CG_GA_4,6_second_ga,best_s,129.0
