log_ids,experiment_name,step,metric,value
202509080032280169970,5_tmax10,initial_solution,solution_generation_time,3.574601173400879
202509080032280169971,5_tmax10,initial_solution,total_generated_columns,119.0
202509080033151556605_tmax10,5_tmax10,preprocessing_and_transformations,pool_deduplication_run_time,0.0
202509080033151556600,5_tmax10,initial_solution,pool_solution_generation_time,44.66024875640869
202509080033151556601,5_tmax10,initial_solution,pool_total_generated_columns,1778.0
202509080039038850920,5_tmax10,genetic_algorithm,ga_execution_time,348.7184443473816
202509080039038850921,5_tmax10,genetic_algorithm,best_cost,677842.705543395
202509080039038850922,5_tmax10,genetic_algorithm,best_fitness,23207823.508858662
202509080039038850923,5_tmax10,genetic_algorithm,best_v,671.0
202509080039038850924,5_tmax10,genetic_algorithm,best_r,529.0
202509080039038850925,5_tmax10,genetic_algorithm,best_u,2.0
202509080039038850926,5_tmax10,genetic_algorithm,best_s,599.0
202509080039038891405_tmax10,5_tmax10,preprocessing_and_transformations,combination_deduplication_run_time,0.002047
202509080039093817660,5_tmax10,graph_build,graph_build_time,5.2900495529174805
202509080039093817661,5_tmax10,graph_build,number_of_nodes,520.0
202509080039093817662,5_tmax10,graph_build,number_of_edges,117326.0
202509080040594272590,5_tmax10,column_generation,column_generation_time,110.04549384117126
202509080040594272591,5_tmax10,column_generation,number_of_iterations,13.0
202509080040594272592,5_tmax10,column_generation,start_objective,148217.05441607666
202509080040594272593,5_tmax10,column_generation,optimal_value,147948.48101730627
202509080040594272594,5_tmax10,column_generation,total_columns_generated,312.0
202509080040594272595,5_tmax10,column_generation,total_reduced_cost,-3810087.020117168
202509080050255821690,5_tmax10,genetic_algorithm,ga_execution_time,566.1342849731445
202509080050255821691,5_tmax10,genetic_algorithm,best_cost,194340.31315268096
202509080050255821692,5_tmax10,genetic_algorithm,best_fitness,0.09810666243372979
202509080050255821693,5_tmax10,genetic_algorithm,best_v,164.0
202509080050255821694,5_tmax10,genetic_algorithm,best_r,43.0
202509080050255821695,5_tmax10,genetic_algorithm,best_u,12.0
202509080050255821696,5_tmax10,genetic_algorithm,best_s,117.0
