log_ids,experiment_name,step,metric,value
202509072115070832770,1_tmax10,initial_solution,solution_generation_time,5.777695178985596
202509072115070832771,1_tmax10,initial_solution,total_generated_columns,120.0
202509072116384585291_tmax10,1_tmax10,preprocessing_and_transformations,pool_deduplication_run_time,0.003001
202509072116384595290,1_tmax10,initial_solution,pool_solution_generation_time,86.59899973869324
202509072116384595291,1_tmax10,initial_solution,pool_total_generated_columns,1751.0
202509072125179160670,1_tmax10,genetic_algorithm,ga_execution_time,519.4425427913666
202509072125179170661,1_tmax10,genetic_algorithm,best_cost,648940.0009753337
202509072125179170662,1_tmax10,genetic_algorithm,best_fitness,13660240.252732258
202509072125179170663,1_tmax10,genetic_algorithm,best_v,642.0
202509072125179170664,1_tmax10,genetic_algorithm,best_r,495.0
202509072125179170665,1_tmax10,genetic_algorithm,best_u,3.0
202509072125179170666,1_tmax10,genetic_algorithm,best_s,574.0
202509072125179340701_tmax10,1_tmax10,preprocessing_and_transformations,combination_deduplication_run_time,0.005002
202509072125263064760,1_tmax10,graph_build,graph_build_time,8.016427040100098
202509072125263074761,1_tmax10,graph_build,number_of_nodes,520.0
202509072125263074762,1_tmax10,graph_build,number_of_edges,117326.0
202509072127490280000,1_tmax10,column_generation,column_generation_time,142.71951961517334
202509072127490280001,1_tmax10,column_generation,number_of_iterations,10.0
202509072127490280002,1_tmax10,column_generation,start_objective,148716.93136728267
202509072127490280003,1_tmax10,column_generation,optimal_value,148415.10736728268
202509072127490280004,1_tmax10,column_generation,total_columns_generated,264.0
202509072127490280005,1_tmax10,column_generation,total_reduced_cost,-2199361.760475611
202509072151196665770,1_tmax10,genetic_algorithm,ga_execution_time,1410.6136808395386
202509072151196665771,1_tmax10,genetic_algorithm,best_cost,198342.9695849744
202509072151196665772,1_tmax10,genetic_algorithm,best_fitness,3.3875338753387534
202509072151196665773,1_tmax10,genetic_algorithm,best_v,179.0
202509072151196665774,1_tmax10,genetic_algorithm,best_r,86.0
202509072151196665775,1_tmax10,genetic_algorithm,best_u,135.0
202509072151196671696,1_tmax10,genetic_algorithm,best_s,138.0
