log_ids,experiment_name,step,metric,value
202509072115070832770,reports\ga_classico_no,1_initial_solution,solution_generation_time,5.777695178985596
202509072115070832771,reports\ga_classico_no,1_initial_solution,total_generated_columns,120.0
202509072116384585291_tmax10,reports\ga_classico_no,2_preprocessing_and_transformations,pool_deduplication_run_time,0.003001
202509072116384595290,reports\ga_classico_no,1_initial_solution,pool_solution_generation_time,86.59899973869324
202509072116384595291,reports\ga_classico_no,1_initial_solution,pool_total_generated_columns,1751.0
202509072125179160670,reports\ga_classico_no,3_first_ga,ga_execution_time,519.4425427913666
202509072125179170661,reports\ga_classico_no,3_first_ga,best_cost,648940.0009753337
202509072125179170662,reports\ga_classico_no,3_first_ga,best_fitness,13660240.252732258
202509072125179170663,reports\ga_classico_no,3_first_ga,best_v,642.0
202509072125179170664,reports\ga_classico_no,3_first_ga,best_r,495.0
202509072125179170665,reports\ga_classico_no,3_first_ga,best_u,3.0
202509072125179170666,reports\ga_classico_no,3_first_ga,best_s,574.0
202509072125179340701_tmax10,reports\ga_classico_no,2_preprocessing_and_transformations,combination_deduplication_run_time,0.005002
202509072125263064760,reports\ga_classico_no,4_graph_build,graph_build_time,8.016427040100098
202509072125263074761,reports\ga_classico_no,4_graph_build,number_of_nodes,520.0
202509072125263074762,reports\ga_classico_no,4_graph_build,number_of_edges,117326.0
202509072127490280000,reports\ga_classico_no,5_column_generation,column_generation_time,142.71951961517334
202509072127490280001,reports\ga_classico_no,5_column_generation,number_of_iterations,10.0
202509072127490280002,reports\ga_classico_no,5_column_generation,start_objective,148716.93136728267
202509072127490280003,reports\ga_classico_no,5_column_generation,optimal_value,148415.10736728268
202509072127490280004,reports\ga_classico_no,5_column_generation,total_columns_generated,264.0
202509072127490280005,reports\ga_classico_no,5_column_generation,total_reduced_cost,-2199361.760475611
202509072151196665770,reports\ga_classico_no,6_second_ga,ga_execution_time,1410.6136808395386
202509072151196665771,reports\ga_classico_no,6_second_ga,best_cost,198342.9695849744
202509072151196665772,reports\ga_classico_no,6_second_ga,best_fitness,3.3875338753387534
202509072151196665773,reports\ga_classico_no,6_second_ga,best_v,179.0
202509072151196665774,reports\ga_classico_no,6_second_ga,best_r,86.0
202509072151196665775,reports\ga_classico_no,6_second_ga,best_u,135.0
202509072151196671696,reports\ga_classico_no,6_second_ga,best_s,138.0
