Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Label_time,Filter_time,Iteration_time
001,13_pop200,2025-10-29 03:37:34,154887.38,1506,1000000.0,0.4935,0.1575,8.4829,0.0172,0.0172,9.1552
002,13_pop200,2025-10-29 03:37:34,150898.97,1531,3988.41,0.51,0.1082,8.1015,0.0402,0.0402,8.7645
003,13_pop200,2025-10-29 03:37:34,148513.2,1554,2385.77,0.6862,0.1422,8.5451,0.0082,0.0082,9.3837
004,13_pop200,2025-10-29 03:37:34,146090.27,1581,2422.93,0.5403,0.1411,12.0323,0.0123,0.0123,12.7292
005,13_pop200,2025-10-29 03:37:34,143992.3,1594,2097.97,0.5784,0.1134,9.228,0.0093,0.0093,9.9301
006,13_pop200,2025-10-29 03:37:34,142701.9,1619,1290.4,0.6978,0.1122,9.6289,0.0062,0.0062,10.4481
007,13_pop200,2025-10-29 03:37:34,140503.73,1656,2198.17,0.5873,0.1146,9.1505,0.0161,0.0161,9.8706
008,13_pop200,2025-10-29 03:37:34,139199.4,1669,1304.32,0.5998,0.1184,9.8306,0.0112,0.0112,10.56
009,13_pop200,2025-10-29 03:37:34,138071.4,1690,1128.01,0.652,0.1173,9.6112,0.0081,0.0081,10.3906
010,13_pop200,2025-10-29 03:37:34,136574.33,1707,1497.07,0.6403,0.1195,9.8444,0.0112,0.0112,10.6175
011,13_pop200,2025-10-29 03:37:34,135299.56,1721,1274.77,0.6859,0.1429,8.2538,0.0141,0.0141,9.0987
012,13_pop200,2025-10-29 03:37:34,133927.91,1740,1371.65,0.6321,0.1097,7.8321,0.0121,0.0121,8.5887
013,13_pop200,2025-10-29 03:37:34,132802.48,1760,1125.43,0.7184,0.1198,7.9208,0.0212,0.0212,8.7833
014,13_pop200,2025-10-29 03:37:34,131779.12,1779,1023.36,0.7327,0.1229,8.2814,0.0142,0.0142,9.1512
015,13_pop200,2025-10-29 03:37:34,130652.73,1794,1126.39,0.6854,0.1053,7.3262,0.0081,0.0081,8.129
016,13_pop200,2025-10-29 03:37:34,129467.62,1811,1185.12,0.6387,0.1073,8.51,0.005,0.005,9.2631
017,13_pop200,2025-10-29 03:37:34,128723.5,1835,744.12,0.6787,0.1803,7.8875,0.0141,0.0141,8.7626
018,13_pop200,2025-10-29 03:37:34,127799.56,1858,923.94,0.8664,0.168,10.9337,0.0122,0.0122,11.9833
019,13_pop200,2025-10-29 03:37:34,126851.0,1877,948.56,0.7386,0.1204,9.8361,0.0082,0.0082,10.7054
020,13_pop200,2025-10-29 03:37:34,125979.13,1900,871.87,0.8159,0.1367,10.3284,0.0152,0.0152,11.2984
021,13_pop200,2025-10-29 03:37:34,125787.45,1929,191.68,0.7045,0.1164,8.9335,0.0082,0.0082,9.7651
022,13_pop200,2025-10-29 03:37:34,124879.6,1952,907.85,0.8346,0.1083,9.2327,0.0132,0.0132,10.1908
023,13_pop200,2025-10-29 03:37:34,124305.55,1972,574.05,0.7598,0.1133,7.7997,0.0133,0.0133,8.6891
024,13_pop200,2025-10-29 03:37:34,123923.69,1997,381.86,0.8693,0.1287,8.5711,0.0113,0.0113,9.5993
025,13_pop200,2025-10-29 03:37:34,123431.5,2025,492.19,0.9123,0.1481,9.033,0.0086,0.0086,10.1033
026,13_pop200,2025-10-29 03:37:34,122807.54,2044,623.95,0.8696,0.1163,10.6077,0.0072,0.0072,11.6033
027,13_pop200,2025-10-29 03:37:34,122377.2,2063,430.34,0.9253,0.139,8.7869,0.005,0.005,9.8581
028,13_pop200,2025-10-29 03:37:34,121946.11,2091,431.09,0.9592,0.1367,9.4097,0.0091,0.0091,10.5179
029,13_pop200,2025-10-29 03:37:34,121353.17,2107,592.94,0.9288,0.1144,8.4423,0.005,0.005,9.4947
030,13_pop200,2025-10-29 03:37:34,120971.61,2125,381.57,0.9616,0.1196,8.2797,0.0092,0.0092,9.3733
031,13_pop200,2025-10-29 03:37:34,121349.69,2146,378.09,0.9563,0.1276,8.1332,0.0111,0.0111,9.2302
032,13_pop200,2025-10-29 03:37:34,120729.82,2166,619.87,0.8473,0.1064,8.9695,0.0071,0.0071,9.9344
033,13_pop200,2025-10-29 03:37:34,120362.22,2187,367.6,0.9435,0.1145,7.7607,0.0081,0.0081,8.8289
034,13_pop200,2025-10-29 03:37:34,119785.82,2204,576.4,1.0331,0.1113,9.5595,0.0161,0.0161,10.721
035,13_pop200,2025-10-29 03:37:34,119386.79,2239,399.04,0.9215,0.1246,9.2576,0.0112,0.0112,10.3179
036,13_pop200,2025-10-29 03:37:34,118841.82,2265,544.97,0.9061,0.123,8.7615,0.0081,0.0081,9.8027
037,13_pop200,2025-10-29 03:37:34,118512.58,2288,329.24,0.9107,0.1864,9.6289,0.006,0.006,10.734
038,13_pop200,2025-10-29 03:37:34,117828.81,2310,683.77,1.0046,0.1255,9.298,0.005,0.005,10.4351
039,13_pop200,2025-10-29 03:37:34,117407.46,2331,421.35,1.1256,0.1172,8.3338,0.0092,0.0092,9.5892
040,13_pop200,2025-10-29 03:37:34,117126.22,2348,281.24,1.2128,0.1291,8.3539,0.0082,0.0082,9.708
041,13_pop200,2025-10-29 03:37:34,117169.99,2365,43.77,1.022,0.1345,7.7357,0.0203,0.0203,8.9167
042,13_pop200,2025-10-29 03:37:34,116845.71,2400,324.28,1.0675,0.1296,7.8313,0.0081,0.0081,9.0397
043,13_pop200,2025-10-29 03:37:34,116461.37,2430,384.35,1.1938,0.1096,8.8628,0.012,0.012,10.1844
044,13_pop200,2025-10-29 03:37:34,116012.8,2451,448.57,1.1157,0.1062,11.2352,0.0147,0.0147,12.4739
045,13_pop200,2025-10-29 03:37:34,115727.92,2466,284.88,1.0916,0.1105,9.3174,0.0254,0.0254,10.5485
046,13_pop200,2025-10-29 03:37:34,115483.58,2480,244.34,1.0321,0.1118,7.8443,0.0133,0.0133,9.0035
047,13_pop200,2025-10-29 03:37:34,115177.57,2498,306.01,1.3702,0.1081,7.8981,0.0101,0.0101,9.3899
048,13_pop200,2025-10-29 03:37:34,114863.07,2521,314.5,1.141,0.1392,9.0857,0.0102,0.0102,10.379
049,13_pop200,2025-10-29 03:37:34,114645.76,2538,217.31,1.1811,0.1093,8.2713,0.0139,0.0139,9.5797
050,13_pop200,2025-10-29 03:37:34,114357.25,2567,288.5,1.1952,0.1126,10.5383,0.0134,0.0134,11.8647
051,13_pop200,2025-10-29 03:37:34,114416.68,2598,59.43,1.3477,0.1328,8.1765,0.0062,0.0062,9.6662
052,13_pop200,2025-10-29 03:37:34,114083.99,2626,332.69,1.154,0.1421,9.0405,0.0125,0.0125,10.3511
053,13_pop200,2025-10-29 03:37:34,113853.05,2650,230.94,1.2434,0.1323,10.0354,0.0071,0.0071,11.4213
054,13_pop200,2025-10-29 03:37:34,113546.46,2677,306.59,1.1721,0.1114,7.93,0.0107,0.0107,9.2296
