log_ids,experiment_name,step,metric,value
202510060125488380020,5_pop200,initial_solution,solution_generation_time,3.1699764728546143
202510060125488380021,5_pop200,initial_solution,total_generated_columns,119.0
202510060126276772945_pop200,5_pop200,preprocessing_and_transformations,pool_deduplication_run_time,0.0
202510060126276772940,5_pop200,initial_solution,pool_solution_generation_time,36.757357120513916
202510060126276772941,5_pop200,initial_solution,pool_total_generated_columns,1512.0
202510060126332162370,5_pop200,graph_build,graph_build_time,5.354578256607056
202510060126332162371,5_pop200,graph_build,number_of_nodes,520.0
202510060126332162372,5_pop200,graph_build,number_of_edges,117326.0
202510060219430606100,5_pop200,column_generation,column_generation_time,3189.843371152878
202510060219430606101,5_pop200,column_generation,number_of_iterations,402
202510060219430606102,5_pop200,column_generation,start_objective,154602.76489903015
202510060219430606103,5_pop200,column_generation,final_objective,111355.32590809869
202510060219430606104,5_pop200,column_generation,is_optimal,False
202510060219430606105,5_pop200,column_generation,is_integer,True
202510060219430606106,5_pop200,column_generation,total_columns_generated,7066
202510060219430606107,5_pop200,column_generation,total_reduced_cost,-7983172.554653822
