log_ids,experiment_name,step,metric,value
202510270033149016820,18_pop200,initial_solution,solution_generation_time,3.450016498565674
202510270033149016821,18_pop200,initial_solution,total_generated_columns,118.0
2025102700335708614218_pop200,18_pop200,preprocessing_and_transformations,pool_deduplication_run_time,0.0
202510270033570861420,18_pop200,initial_solution,pool_solution_generation_time,39.92068123817444
202510270033570861421,18_pop200,initial_solution,pool_total_generated_columns,1518.0
202510270034025870540,18_pop200,graph_build,graph_build_time,5.3062238693237305
202510270034025870541,18_pop200,graph_build,number_of_nodes,520.0
202510270034025870542,18_pop200,graph_build,number_of_edges,117326.0
202510270050236160130,18_pop200,column_generation,column_generation_time,981.028959274292
202510270050236160131,18_pop200,column_generation,number_of_iterations,100
202510270050236160132,18_pop200,column_generation,start_objective,153234.3024057209
202510270050236160133,18_pop200,column_generation,final_objective,108475.02166330918
202510270050236160134,18_pop200,column_generation,is_optimal,False
202510270050236160135,18_pop200,column_generation,is_integer,False
202510270050236160136,18_pop200,column_generation,total_columns_generated,2440
202510270050236160137,18_pop200,column_generation,total_reduced_cost,-2558958.3070312203
