log_ids,experiment_name,step,metric,value
202509280320145946510,12_pop200,initial_solution,solution_generation_time,3.336015462875366
202509280320145946511,12_pop200,initial_solution,total_generated_columns,119.0
2025092803205261377012_pop200,12_pop200,preprocessing_and_transformations,pool_deduplication_run_time,0.001564
202509280320526147940,12_pop200,initial_solution,pool_solution_generation_time,36.03153896331787
202509280320526147941,12_pop200,initial_solution,pool_total_generated_columns,1494.0
202509280323212753580,12_pop200,genetic_algorithm,ga_execution_time,148.6540060043335
202509280323212753581,12_pop200,genetic_algorithm,best_cost,617190.6345091744
202509280323212753582,12_pop200,genetic_algorithm,best_fitness,15248626.631324615
202509280323212753583,12_pop200,genetic_algorithm,best_v,609.0
202509280323212753584,12_pop200,genetic_algorithm,best_r,428.0
202509280323212753585,12_pop200,genetic_algorithm,best_u,2.0
202509280323212753586,12_pop200,genetic_algorithm,best_s,533.0
2025092803232127731612_pop200,12_pop200,preprocessing_and_transformations,combination_deduplication_run_time,0.000959
202509280323267512070,12_pop200,graph_build,graph_build_time,5.276876211166382
202509280323267512071,12_pop200,graph_build,number_of_nodes,520.0
202509280323267512072,12_pop200,graph_build,number_of_edges,117326.0
202509280325526328320,12_pop200,column_generation,column_generation_time,145.8816249370575
202509280325526328321,12_pop200,column_generation,number_of_iterations,20
202509280325526328322,12_pop200,column_generation,start_objective,149418.44290873146
202509280325526328323,12_pop200,column_generation,final_objective,149012.93890873142
202509280325526328324,12_pop200,column_generation,is_optimal,False
202509280325526328325,12_pop200,column_generation,total_columns_generated,406
202509280325526328326,12_pop200,column_generation,total_reduced_cost,-3563269.387703074
