Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Label_time,Filter_time,Iteration_time
001,23,2025-10-26 02:46:58,145408.34,1428,1000000.0,0.4249,0.1127,9.6401,0.0184,0.0184,10.1983
002,23,2025-10-26 02:46:58,145251.15,1448,157.19,0.6368,0.1721,8.1198,0.0157,0.0157,8.9484
003,23,2025-10-26 02:46:58,142918.8,1471,2332.35,0.6372,0.1112,9.7725,0.0047,0.0047,10.5256
004,23,2025-10-26 02:46:58,141040.13,1499,1878.67,0.6078,0.1058,8.7327,0.0,0.0,9.4467
005,23,2025-10-26 02:46:58,139132.74,1524,1907.4,0.6193,0.1215,9.6481,0.0094,0.0094,10.3983
006,23,2025-10-26 02:46:58,137372.78,1557,1759.95,0.5784,0.1735,8.9947,0.0059,0.0059,9.7546
007,23,2025-10-26 02:46:58,136053.24,1575,1319.55,0.6068,0.1204,8.5172,0.011,0.011,9.2553
008,23,2025-10-26 02:46:58,134754.3,1608,1298.93,0.6088,0.1282,9.5861,0.0078,0.0078,10.3319
009,23,2025-10-26 02:46:58,133187.32,1629,1566.98,0.6441,0.119,8.9418,0.0123,0.0123,9.7202
010,23,2025-10-26 02:46:58,131912.93,1654,1274.4,0.5969,0.1787,7.8362,0.006,0.006,8.6193
011,23,2025-10-26 02:46:58,130978.26,1682,934.66,0.6817,0.1299,9.154,0.008,0.008,9.9736
012,23,2025-10-26 02:46:58,130101.29,1705,876.98,0.6448,0.1257,9.6158,0.0177,0.0177,10.404
013,23,2025-10-26 02:46:58,129275.81,1733,825.48,0.7069,0.1213,8.7854,0.0136,0.0136,9.6282
014,23,2025-10-26 02:46:58,128493.35,1758,782.45,0.6482,0.1163,9.232,0.0219,0.0219,10.0235
015,23,2025-10-26 02:46:58,127599.2,1791,894.16,0.7618,0.1138,10.0228,0.0,0.0,10.9002
016,23,2025-10-26 02:46:58,126537.38,1822,1061.82,0.8359,0.1624,8.5232,0.0059,0.0059,9.528
017,23,2025-10-26 02:46:58,125786.94,1841,750.43,0.807,0.1509,8.4487,0.0,0.0,9.4077
018,23,2025-10-26 02:46:58,125315.5,1866,471.44,0.957,0.1355,8.7896,0.014,0.014,9.8996
019,23,2025-10-26 02:46:58,124866.69,1894,448.81,0.8178,0.1369,10.0005,0.0164,0.0164,10.9735
020,23,2025-10-26 02:46:58,124125.36,1918,741.34,0.8468,0.1281,10.6693,0.0138,0.0138,11.66
021,23,2025-10-26 02:46:58,123450.28,1932,675.08,0.7011,0.1222,9.049,0.0163,0.0163,9.8887
022,23,2025-10-26 02:46:58,123008.98,1959,441.3,0.7489,0.1127,8.6309,0.002,0.002,9.5015
023,23,2025-10-26 02:46:58,122521.52,1981,487.46,0.7975,0.1296,10.0153,0.0088,0.0088,10.9523
024,23,2025-10-26 02:46:58,122169.08,2009,352.45,0.9733,0.2312,8.622,0.004,0.004,9.8326
