log_ids,experiment_name,step,metric,value
202509302112569622840,8,initial_solution,solution_generation_time,3.3200161457061768
202509302112569622841,8,initial_solution,total_generated_columns,119.0
202509302114208302018,8,preprocessing_and_transformations,pool_deduplication_run_time,0.0
202509302114208461400,8,initial_solution,pool_solution_generation_time,79.58793544769287
202509302114208461401,8,initial_solution,pool_total_generated_columns,2634.0
202509302116105065080,8,genetic_algorithm,ga_execution_time,109.66036796569824
202509302116105065081,8,genetic_algorithm,best_cost,1456080.6358683957
202509302116105065082,8,genetic_algorithm,best_fitness,547.8491635150983
202509302116105065083,8,genetic_algorithm,best_v,1222.0
202509302116105065084,8,genetic_algorithm,best_r,2701.0
202509302116105065085,8,genetic_algorithm,best_u,0.0
202509302116105065086,8,genetic_algorithm,best_s,733.0
202509302116105154998,8,preprocessing_and_transformations,combination_deduplication_run_time,0.008991
202509302116161476170,8,graph_build,graph_build_time,5.450014591217041
202509302116161476171,8,graph_build,number_of_nodes,520.0
202509302116161476172,8,graph_build,number_of_edges,117326.0
202509302116364969550,8,column_generation,column_generation_time,20.349337816238403
202509302116364969551,8,column_generation,number_of_iterations,2
202509302116364969552,8,column_generation,start_objective,149223.27090205808
202509302116364969553,8,column_generation,final_objective,149223.27090205808
202509302116364969554,8,column_generation,is_optimal,False
202509302116364969555,8,column_generation,total_columns_generated,43
202509302116364969556,8,column_generation,total_reduced_cost,-308569.01936112985
