Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Label_time,Filter_time,Iteration_time
001,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,40975.36,41,0.0,0.164,0.009,13.3924,0.001,0.001,13.5704
002,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,40698.88,51,276.48,0.155,0.009,14.7272,0.001,0.001,14.8972
003,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,40560.64,61,138.24,0.1598,0.01,35.5638,0.0009,0.001,35.7396
004,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,40560.64,71,0.0,0.2249,0.012,40.8487,0.001,0.002,41.0925
005,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,40560.64,81,0.0,0.168,0.009,22.1311,0.001,0.001,22.3141
006,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,40560.64,91,0.0,0.183,0.01,13.1556,0.001,0.001,13.3547
007,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,40560.64,101,0.0,0.212,0.012,14.1813,0.001,0.002,14.4123
008,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,40422.4,109,138.24,0.2048,0.01,10.7666,0.002,0.003,10.9924
009,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,40284.16,119,138.24,0.2314,0.0111,15.914,0.002,0.001,16.1678
010,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,40284.16,129,0.0,0.2184,0.0105,14.6125,0.0015,0.001,14.8489
011,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,40284.16,139,0.0,0.2524,0.0105,6.5982,0.0,0.0025,6.8711
012,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,40145.92,149,138.24,0.2901,0.0199,22.1231,0.001,0.001,22.4434
013,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,40145.92,152,0.0,0.2094,0.015,14.8926,0.004,0.0085,15.1365
014,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,40145.92,157,0.0,0.212,0.013,21.2235,0.001,0.0,21.467
015,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,40145.92,166,0.0,0.2054,0.0157,10.9883,0.001,0.002,11.2349
016,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,40145.92,174,0.0,0.206,0.0105,22.3696,0.001,0.002,22.5936
017,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,40145.92,184,0.0,0.2182,0.0105,20.4765,0.001,0.001,20.7128
018,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,37492.9,194,2653.02,0.2819,0.0123,30.0746,0.001,0.001,30.3798
019,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,36581.99,204,910.91,0.2785,0.0138,27.8684,0.001,0.001,28.172
020,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,35552.59,214,1029.41,0.2589,0.0095,30.9431,0.0,0.002,31.2205
021,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,34985.48,224,567.11,0.2453,0.0095,28.308,0.001,0.002,28.5724
022,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,34333.27,232,652.21,0.2982,0.014,20.6925,0.001,0.001,21.0147
023,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,33656.82,242,676.46,0.3157,0.011,24.3829,0.001,0.001,24.7186
024,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,33120.98,250,535.84,0.349,0.018,18.5232,0.0,0.0021,18.9023
025,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,32418.7,260,702.28,0.2631,0.012,34.2706,0.001,0.001,34.5537
026,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,31916.29,270,502.4,0.3095,0.01,33.723,0.001,0.001,34.0505
027,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,31652.65,280,263.65,0.307,0.011,32.1019,0.001,0.002,32.4309
028,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,31420.99,290,231.65,0.4898,0.014,32.8559,0.0017,0.0016,33.3705
029,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,31179.4,300,241.6,0.3508,0.013,26.3357,0.001,0.001,26.713
030,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,30957.05,310,222.34,0.3066,0.011,36.9111,0.0,0.002,37.2397
031,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,30832.2,320,124.85,0.3172,0.02,35.3706,0.0,0.002,35.7628
032,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,30725.63,330,106.58,0.3099,0.009,40.1172,0.001,0.001,40.4481
033,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,30655.45,340,70.17,0.343,0.012,26.9491,0.0,0.002,27.3182
034,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,30472.52,350,182.94,0.3491,0.01,37.9053,0.0011,0.0011,38.2756
035,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,30285.52,360,187.0,0.5343,0.0171,31.1715,0.002,0.001,31.7424
036,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,30147.36,370,138.16,0.3928,0.0177,41.9713,0.0011,0.001,42.398
037,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,30066.69,380,80.68,0.3676,0.0095,42.0058,0.001,0.001,42.3945
038,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,30017.27,390,49.42,0.3761,0.015,42.2395,0.001,0.002,42.6442
039,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,29902.34,400,114.93,0.3709,0.018,40.7378,0.0015,0.001,41.1408
040,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,29844.5,410,57.84,0.3693,0.0155,42.2317,0.001,0.002,42.6367
041,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,29802.13,420,42.37,0.4953,0.0155,43.3295,0.0,0.0,43.8499
042,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,29691.73,430,110.4,0.4655,0.0091,44.1629,0.001,0.001,44.6498
043,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,29664.79,440,26.94,0.4266,0.012,51.3106,0.0011,0.0011,51.7624
044,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,29616.44,450,48.35,0.3921,0.009,46.9314,0.0,0.002,47.345
045,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,29583.84,459,32.6,0.4178,0.009,54.1471,0.001,0.001,54.5864
046,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,29562.72,468,21.13,0.4884,0.018,48.6311,0.001,0.001,49.166
047,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,29527.07,478,35.65,0.4478,0.0115,57.3879,0.001,0.0015,57.8642
048,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,29458.24,488,68.83,0.3896,0.0125,55.945,0.001,0.001,56.3636
049,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,29453.5,498,4.74,0.4175,0.0095,59.8769,0.001,0.001,60.3163
050,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,29441.05,507,12.45,0.3935,0.0095,51.1846,0.002,0.001,51.6001
051,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,29439.28,517,1.76,0.5064,0.0125,46.7936,0.001,0.002,47.326
052,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,29428.8,527,10.49,0.4412,0.0134,55.3947,0.002,0.001,55.8668
053,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,29415.51,536,13.28,0.4475,0.0109,60.1769,0.001,0.001,60.6548
054,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,29403.15,546,12.36,0.4465,0.0135,56.8858,0.0011,0.0028,57.3643
055,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,29394.6,555,8.55,0.4987,0.014,54.8869,0.001,0.002,55.4206
056,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,29389.21,564,5.39,0.4388,0.0125,63.3709,0.002,0.001,63.8357
057,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,29381.04,574,8.18,0.4712,0.0112,75.9702,0.001,0.0012,76.4683
058,exp_2_zmin_50_k_10_i_9_False,2025-08-12 22:13:31,29361.55,581,19.49,0.5344,0.0125,65.5696,0.001,0.001,66.1321
