Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Filter_time,Iteration_time
1,exp_0_zmin_50_k_10_i_10,2025-08-14 00:56:07,40975.36,31,inf,0.1452,0.0109,13.2136,0.002,13.3718
2,exp_0_zmin_50_k_10_i_10,2025-08-14 00:56:21,40975.36,39,0.0,0.1709,0.0168,14.3718,0.0,14.561
3,exp_0_zmin_50_k_10_i_10,2025-08-14 00:56:35,40975.36,49,0.0,0.1609,0.0117,16.4037,0.002,16.5793
4,exp_0_zmin_50_k_10_i_10,2025-08-14 00:56:52,40975.36,59,0.0,0.2123,0.025,27.6887,0.0,27.9297
5,exp_0_zmin_50_k_10_i_10,2025-08-14 00:57:20,40975.36,69,0.0,0.2093,0.0139,18.6083,0.0,18.8314
6,exp_0_zmin_50_k_10_i_10,2025-08-14 00:57:39,40894.72,79,80.64,0.1829,0.0047,29.297,0.0112,29.4957
7,exp_0_zmin_50_k_10_i_10,2025-08-14 00:58:08,40894.72,89,0.0,0.208,0.0074,11.8357,0.0,12.0512
8,exp_0_zmin_50_k_10_i_10,2025-08-14 00:58:20,40894.72,95,0.0,0.192,0.0053,23.791,0.0,23.9883
9,exp_0_zmin_50_k_10_i_10,2025-08-14 00:58:44,40894.72,105,0.0,0.2015,0.0135,11.612,0.001,11.8423
10,exp_0_zmin_50_k_10_i_10,2025-08-14 00:58:56,40894.72,114,0.0,0.1816,0.0083,11.1915,0.0156,11.397
11,exp_0_zmin_50_k_10_i_10,2025-08-14 00:59:07,40894.72,118,0.0,0.1753,0.0189,7.9081,0.0,8.1043
12,exp_0_zmin_50_k_10_i_10,2025-08-14 00:59:15,40894.72,128,0.0,0.1965,0.0095,23.6026,0.0,23.8097
13,exp_0_zmin_50_k_10_i_10,2025-08-14 00:59:39,40894.72,138,0.0,0.2609,0.0125,14.6707,0.0,14.9446
14,exp_0_zmin_50_k_10_i_10,2025-08-14 00:59:54,40894.72,146,0.0,0.2852,0.0195,23.5027,0.0,23.8095
15,exp_0_zmin_50_k_10_i_10,2025-08-14 01:00:18,40894.72,156,0.0,0.2057,0.0163,12.6234,0.0,12.8454
16,exp_0_zmin_50_k_10_i_10,2025-08-14 01:00:31,40894.72,162,0.0,0.2208,0.0,0.0,0.0,0.2208
