Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Label_time,Filter_time,Iteration_time
001,exp_1_zmin_50_k_30_i_9_True,2025-07-31 22:46:00,49324.98,63,0.0,0.0764,0.01,9.4559,0.0005,0.002,9.5478
002,exp_1_zmin_50_k_30_i_9_True,2025-07-31 22:46:00,48536.43,74,788.54,0.0878,0.0087,9.0589,0.001,0.002,9.1618
003,exp_1_zmin_50_k_30_i_9_True,2025-07-31 22:46:00,48361.33,91,175.1,0.0922,0.0094,19.6963,0.001,0.002,19.8036
004,exp_1_zmin_50_k_30_i_9_True,2025-07-31 22:46:00,48053.17,103,308.16,0.0955,0.008,11.374,0.001,0.001,11.4826
005,exp_1_zmin_50_k_30_i_9_True,2025-07-31 22:46:00,47776.69,111,276.48,0.0985,0.008,8.1888,0.0005,0.0011,8.2999
006,exp_1_zmin_50_k_30_i_9_True,2025-07-31 22:46:00,47776.69,127,0.0,0.1516,0.012,7.7285,0.001,0.001,7.899
007,exp_1_zmin_50_k_30_i_9_True,2025-07-31 22:46:00,47732.91,135,43.78,0.1221,0.01,5.9951,0.0016,0.001,6.1343
008,exp_1_zmin_50_k_30_i_9_True,2025-07-31 22:46:00,47732.91,151,0.0,0.1241,0.0105,16.6413,0.0,0.002,16.7836
009,exp_1_zmin_50_k_30_i_9_True,2025-07-31 22:46:00,47732.91,156,0.0,0.1421,0.0086,9.4893,0.002,0.0,9.6471
010,exp_1_zmin_50_k_30_i_9_True,2025-07-31 22:46:00,47732.91,161,0.0,0.1416,0.011,6.2185,0.0016,0.0011,6.3798
011,exp_1_zmin_50_k_30_i_9_True,2025-07-31 22:46:00,47732.91,170,0.0,0.1407,0.0089,10.5984,0.001,0.0015,10.7552
012,exp_1_zmin_50_k_30_i_9_True,2025-07-31 22:46:00,47732.91,178,0.0,0.1419,0.009,9.2681,0.001,0.001,9.424
013,exp_1_zmin_50_k_30_i_9_True,2025-07-31 22:46:00,47732.91,185,0.0,0.1697,0.008,10.0454,0.0,0.001,10.2301
014,exp_1_zmin_50_k_30_i_9_True,2025-07-31 22:46:00,47732.91,194,0.0,0.1492,0.008,15.6076,0.001,0.001,15.7718
015,exp_1_zmin_50_k_30_i_9_True,2025-07-31 22:46:00,45358.33,200,2374.58,0.1853,0.0085,10.8336,0.001,0.001,11.0352
016,exp_1_zmin_50_k_30_i_9_True,2025-07-31 22:46:00,44903.17,217,455.16,0.1949,0.009,21.9527,0.001,0.001,22.1629
017,exp_1_zmin_50_k_30_i_9_True,2025-07-31 22:46:00,44025.32,227,877.85,0.1635,0.0085,9.3697,0.001,0.002,9.5526
018,exp_1_zmin_50_k_30_i_9_True,2025-07-31 22:46:00,43238.36,238,786.96,0.1671,0.008,18.0273,0.0,0.001,18.2094
019,exp_1_zmin_50_k_30_i_9_True,2025-07-31 22:46:00,42480.7,246,757.65,0.1719,0.008,19.8269,0.001,0.001,20.0148
020,exp_1_zmin_50_k_30_i_9_True,2025-07-31 22:46:00,41787.88,262,692.82,0.1782,0.009,19.1752,0.001,0.001,19.3704
021,exp_1_zmin_50_k_30_i_9_True,2025-07-31 22:46:00,40981.39,273,806.49,0.1954,0.008,20.3501,0.001,0.002,20.5625
022,exp_1_zmin_50_k_30_i_9_True,2025-07-31 22:46:00,40380.97,283,600.42,0.2095,0.009,20.2108,0.001,0.0006,20.437
