Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Label_time,Filter_time,Iteration_time
001,exp_1_zmin_50_k_30_i_9_False,2025-08-07 06:03:11,169661.37,135,0.0,0.425,0.1058,744.1515,0.0121,0.002,744.7025
002,exp_1_zmin_50_k_30_i_9_False,2025-08-07 06:03:11,169661.37,158,0.0,0.4525,0.1075,1114.573,0.0172,0.0022,1115.1586
003,exp_1_zmin_50_k_30_i_9_False,2025-08-07 06:03:11,169474.74,188,186.62,0.4827,0.1041,494.522,0.0106,0.0029,495.1283
004,exp_1_zmin_50_k_30_i_9_False,2025-08-07 06:03:11,168596.92,206,877.82,0.4612,0.0983,1115.637,0.0116,0.0035,1116.2215
005,exp_1_zmin_50_k_30_i_9_False,2025-08-07 06:03:11,168596.92,224,0.0,0.5325,0.1112,1015.7789,0.009,0.0022,1016.4494
006,exp_1_zmin_50_k_30_i_9_False,2025-08-07 06:03:11,167980.6,244,616.32,0.6269,0.0924,804.7393,0.0125,0.003,805.4791
007,exp_1_zmin_50_k_30_i_9_False,2025-08-07 06:03:11,167980.6,263,0.0,0.5664,0.1202,1187.9559,0.0192,0.0032,1188.6698
008,exp_1_zmin_50_k_30_i_9_False,2025-08-07 06:03:11,167980.6,276,0.0,0.6181,0.106,500.8729,0.009,0.0054,501.617
009,exp_1_zmin_50_k_30_i_9_False,2025-08-07 06:03:11,167980.6,289,0.0,0.6469,0.0996,655.3728,0.0079,0.002,656.1376
010,exp_1_zmin_50_k_30_i_9_False,2025-08-07 06:03:11,167980.6,307,0.0,0.73,0.1107,948.3564,0.0122,0.002,949.2187
011,exp_1_zmin_50_k_30_i_9_False,2025-08-07 06:03:11,167980.6,321,0.0,0.7209,0.1051,593.2501,0.0137,0.002,594.0997
012,exp_1_zmin_50_k_30_i_9_False,2025-08-07 06:03:11,167980.6,335,0.0,0.7716,0.1108,473.1643,0.0228,0.002,474.0796
013,exp_1_zmin_50_k_30_i_9_False,2025-08-07 06:03:11,167980.6,356,0.0,0.8004,0.0983,554.0708,0.0088,0.002,554.9872
014,exp_1_zmin_50_k_30_i_9_False,2025-08-07 06:03:11,167842.36,366,138.24,0.8406,0.1257,537.0641,0.012,0.0023,538.053
015,exp_1_zmin_50_k_30_i_9_False,2025-08-07 06:03:11,167842.36,392,0.0,0.812,0.1034,669.8461,0.0081,0.003,670.7806
016,exp_1_zmin_50_k_30_i_9_False,2025-08-07 06:03:11,167842.36,410,0.0,0.9081,0.1066,615.1609,0.0194,0.0029,616.2082
017,exp_1_zmin_50_k_30_i_9_False,2025-08-07 06:03:11,167842.36,420,0.0,0.957,0.1161,458.4709,0.0205,0.001,459.5752
018,exp_1_zmin_50_k_30_i_9_False,2025-08-07 06:03:11,167842.36,429,0.0,1.0052,0.1025,419.0321,0.0094,0.001,420.1602
019,exp_1_zmin_50_k_30_i_9_False,2025-08-07 06:03:11,167842.36,443,0.0,1.0576,0.1159,455.785,0.007,0.002,456.976
020,exp_1_zmin_50_k_30_i_9_False,2025-08-07 06:03:11,167842.36,454,0.0,1.1101,0.1409,383.5662,0.0077,0.002,384.8334
021,exp_1_zmin_50_k_30_i_9_False,2025-08-07 06:03:11,167842.36,463,0.0,1.0561,0.1125,607.6025,0.0286,0.0021,608.8089
022,exp_1_zmin_50_k_30_i_9_False,2025-08-07 06:03:11,167842.36,476,0.0,1.0308,0.1126,432.1132,0.007,0.002,433.2723
023,exp_1_zmin_50_k_30_i_9_False,2025-08-07 06:03:11,167842.36,490,0.0,1.1045,0.1053,458.3999,0.0105,0.0015,459.6416
024,exp_1_zmin_50_k_30_i_9_False,2025-08-07 06:03:11,167842.36,506,0.0,1.1615,0.0905,351.1731,0.0142,0.002,352.4624
