Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Label_time,Filter_time,Iteration_time
001,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,186994.74,178,0.0,0.6647,0.1599,72.3473,0.0082,0.002,73.2049
002,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,186669.87,192,324.86,0.5275,0.0943,100.5767,0.0071,0.0,101.2122
003,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,186638.19,218,31.68,0.5688,0.0896,96.842,0.0087,0.001,97.5163
004,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,185898.61,243,739.58,0.6967,0.0996,72.0174,0.0114,0.001,72.8318
005,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,185444.13,266,454.48,0.6846,0.0998,118.4185,0.0115,0.0005,119.2211
006,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,185444.13,281,0.0,0.7785,0.131,87.6167,0.0168,0.001,88.551
007,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,185444.13,288,0.0,0.7373,0.0952,103.2517,0.0168,0.001,104.1082
008,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,185444.13,300,0.0,0.7652,0.1196,147.4182,0.0128,0.001,148.3268
009,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,185444.13,313,0.0,0.8014,0.115,147.3702,0.0069,0.0011,148.3487
010,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,185444.13,323,0.0,0.8531,0.0966,129.9883,0.0104,0.0026,130.9584
011,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,185444.13,336,0.0,0.8948,0.0996,88.4712,0.0102,0.002,89.4878
012,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,185299.35,346,144.77,0.8575,0.1633,111.8083,0.005,0.001,112.8432
013,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,185299.35,360,0.0,0.8462,0.1101,143.5759,0.0096,0.001,144.5522
014,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,185299.35,371,0.0,1.0162,0.0913,139.6989,0.0056,0.001,140.819
015,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,185299.35,381,0.0,1.0492,0.0864,116.836,0.007,0.001,117.9878
016,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,185299.35,391,0.0,1.0307,0.098,141.4154,0.02,0.001,142.5712
017,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,185299.35,400,0.0,0.9899,0.0976,86.2703,0.0095,0.001,87.377
018,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,185299.35,406,0.0,1.0138,0.1232,81.8251,0.007,0.001,82.9783
019,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,185299.35,438,0.0,0.9863,0.0983,137.8981,0.022,0.001,139.0159
020,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,185149.13,446,150.22,1.1698,0.0867,73.1692,0.0081,0.003,74.4611
021,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,185149.13,463,0.0,1.2858,0.0998,75.7967,0.0207,0.0015,77.2129
022,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,185149.13,478,0.0,1.1184,0.0893,84.5153,0.0115,0.0006,85.7456
023,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,185149.13,483,0.0,1.238,0.0948,97.5684,0.0082,0.001,98.9255
024,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,185149.13,493,0.0,1.1245,0.0946,138.3653,0.005,0.001,139.6003
025,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,185149.13,503,0.0,1.2658,0.0979,120.0051,0.0132,0.001,121.3921
026,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,185149.13,512,0.0,1.2554,0.0858,142.5198,0.0093,0.001,143.8833
027,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,185149.13,516,0.0,1.2575,0.1014,124.8861,0.0235,0.001,126.2818
028,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,185149.13,523,0.0,1.3237,0.0913,73.8436,0.0091,0.001,75.2778
029,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,185149.13,529,0.0,1.2317,0.093,85.5338,0.0308,0.0,86.9004
030,exp003_20250816_054018_z50_k50_i9_unfiltered_2025-08-16_03-51-00_l4_290_l59_100_l60_120,2025-08-16 06:34:18,185149.13,536,0.0,1.3288,0.0983,66.6595,0.005,0.001,68.102
