Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Label_time,Filter_time,Iteration_time
001,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,37766.43,53,0.0,0.1437,0.0051,2.506,0.0,0.0,2.6589
002,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,37628.19,66,138.24,0.2131,0.008,2.0301,0.001,0.001,2.2552
003,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,31531.51,76,6096.67,0.1898,0.0052,1.1363,0.001,0.001,1.3364
004,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,29696.82,86,1834.7,0.2078,0.004,2.2672,0.0,0.0,2.4846
005,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,26677.0,97,3019.81,0.1657,0.007,1.7667,0.001,0.001,1.9464
006,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,22873.43,106,3803.57,0.1833,0.005,1.7434,0.0012,0.0011,1.937
007,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,21179.73,113,1693.7,0.2275,0.0073,2.1816,0.001,0.001,2.4227
008,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,20498.97,126,680.76,0.2326,0.007,1.3616,0.0,0.001,1.6062
009,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,19165.48,133,1333.49,0.2138,0.009,1.7122,0.0,0.0,1.9479
010,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,18198.24,140,967.25,0.1767,0.006,1.257,0.001,0.0009,1.4466
011,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,17585.86,147,612.38,0.1847,0.007,1.2893,0.0,0.001,1.4884
012,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,17581.6,155,4.26,0.178,0.005,1.2692,0.0,0.001,1.4582
013,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,17172.66,169,408.94,0.2696,0.0047,1.1977,0.0004,0.0,1.4778
014,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,16905.66,176,267.0,0.1872,0.0075,1.0016,0.002,0.001,1.2076
015,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,16658.7,184,246.95,0.2358,0.005,1.3406,0.001,0.0015,1.5903
016,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,16566.03,187,92.68,0.2933,0.009,1.3217,0.001,0.001,1.6379
017,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,16489.89,197,76.14,0.208,0.008,1.1393,0.0,0.001,1.3624
018,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,16394.97,201,94.91,0.1985,0.008,1.2099,0.0,0.0004,1.4262
019,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,16279.04,210,115.94,0.1985,0.005,1.1456,0.001,0.0013,1.3584
020,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,16188.39,218,90.65,0.2896,0.0073,1.5676,0.001,0.001,1.8749
021,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,16143.42,231,44.97,0.2712,0.006,1.1427,0.0,0.001,1.4269
022,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,16087.93,239,55.49,0.2271,0.006,1.5871,0.0012,0.001,1.8324
