experiment_name,best_cost,best_fitness,best_r,best_s,best_u,best_v,column_generation_time,ga_execution_time,graph_build_time,number_of_edges,number_of_iterations,number_of_nodes,optimal_value,solution_generation_time,start_objective,total_columns_generated,total_generated_columns,total_reduced_cost
10,119917.27380264722,8.960573476702509,20.0,42.0,54.0,84.0,117.5267722606659,262.45637607574463,5.279386520385742,117326.0,19.0,520.0,144224.8530659004,2.807936906814575,145947.43306590038,309.0,114.0,-3130861.9411582127
11,112827.11298893124,12.254901960784313,3.0,33.0,35.0,76.0,79.54545617103577,244.79107093811035,5.237599611282349,117326.0,13.0,520.0,143481.47810832993,2.809088468551636,144166.9181083299,208.0,111.0,-1564129.8252768463
12,111378.47710599189,11.682242990654206,1.0,37.0,41.0,76.0,77.40540218353271,244.80156803131104,5.361176013946533,117326.0,13.0,520.0,143725.213779433,2.9055190086364746,144482.93492789363,237.0,112.0,-1883850.9915739067
13,111451.64069503664,12.106537530266344,0.0,37.0,37.0,76.0,81.1318519115448,246.3235900402069,5.316980361938477,117326.0,13.0,520.0,141936.75376998715,2.7576277256011963,142689.58576998714,221.0,110.0,-1569216.4063629727
14,115799.48506047358,11.961722488038276,0.0,41.0,32.0,80.0,79.51763129234314,239.0079207420349,5.330431938171387,117326.0,13.0,520.0,144073.91991201296,3.0608644485473637,144568.7010604736,186.0,112.0,-1401503.344031086
15,115375.83486521336,7.874015748031496,31.0,34.0,79.0,79.0,91.53848028182983,258.3649778366089,5.536573171615601,117326.0,15.0,520.0,141676.51199522405,2.700258731842041,142279.1573939944,279.0,110.0,-2371330.0749312937
16,111181.2174862814,12.5,0.0,35.0,35.0,75.0,79.6111171245575,243.182154417038,5.2898924350738525,117326.0,13.0,520.0,141279.31701467172,2.785179376602173,142097.81301467176,201.0,109.0,-1486072.363865772
17,112183.4509533456,9.487666034155598,12.0,37.0,63.0,76.0,77.35143756866455,250.4776883125305,5.24814248085022,117326.0,13.0,520.0,146034.70250191173,2.8694007396698,146545.03850191168,200.0,114.0,-1529497.4490892445
18,114285.1336768896,6.402048655569781,46.0,32.0,114.0,79.0,144.81223893165588,285.3635380268097,5.511653661727905,117326.0,22.0,520.0,140485.0200881151,2.8390324115753174,141920.7492365757,402.0,111.0,-3931029.8051105193
19,114566.458531734,11.60092807424594,0.0,40.0,37.0,80.0,80.25671339035034,247.46998405456543,5.397792816162109,117326.0,13.0,520.0,147184.21531539853,2.7941665649414062,148112.1513153985,215.0,117.0,-1479339.1144479786
1,110082.84175018956,9.98003992015968,15.0,33.0,57.0,73.0,121.41418266296388,323.54269433021545,11.32697892189026,117326.0,14.0,520.0,142164.4085941492,3.166163444519043,142910.32859414915,235.0,111.0,-1922571.0306981208
20,113385.5901430692,7.462686567164179,31.0,35.0,91.0,78.0,111.09302473068236,261.2827236652374,5.1804749965667725,117326.0,18.0,520.0,141330.25838150104,2.7666640281677246,142148.17552996168,310.0,110.0,-2587546.823318467
21,113491.71765669892,11.876484560570072,1.0,38.0,36.0,78.0,85.99525594711304,246.7922921180725,5.2392778396606445,117326.0,14.0,520.0,143114.32498772565,2.7375919818878174,143583.91406267614,230.0,112.0,-1746143.1871404
22,111635.33557309216,12.195121951219512,0.0,34.0,39.0,75.0,96.59885311126708,247.4828329086304,5.284819841384888,117326.0,15.0,520.0,144248.39957309226,2.976448535919189,145179.2926480427,238.0,112.0,-1911419.3267549751
23,114337.5741326466,12.224938875305623,0.0,35.0,35.0,78.0,100.28558611869812,256.5614562034607,5.250417232513428,117326.0,17.0,520.0,141834.901057702,2.8325695991516118,142612.32213264663,282.0,108.0,-2289975.870848889
24,118918.67730336094,11.60092807424594,0.0,46.0,29.0,84.0,86.44160103797913,241.03644728660583,5.289233922958374,117326.0,14.0,520.0,143734.86114899375,2.7941854000091557,144376.52514898792,199.0,112.0,-1500878.7687761758
25,112709.97566200732,11.876484560570072,0.0,38.0,37.0,78.0,94.39461994171144,247.88800930976868,5.277281045913696,117326.0,15.0,520.0,141527.06417660174,2.7302303314208984,142302.93617659592,243.0,110.0,-1879578.577520277
26,114167.20561554772,12.048192771084338,0.0,41.0,32.0,79.0,85.47080063819885,246.7879889011383,5.269238233566284,117326.0,14.0,520.0,138329.8278210061,2.7214062213897705,139111.4598210061,251.0,106.0,-1766224.2055136072
27,114645.188450538,8.976660682226212,26.0,34.0,60.0,77.0,86.107346534729,251.81688833236691,5.2915637493133545,117326.0,14.0,520.0,144587.55777574133,2.877044916152954,145357.41599915246,229.0,113.0,-1915610.3645210683
28,111634.80464376588,12.1654501216545,0.0,36.0,37.0,76.0,99.36530661582948,250.92468523979187,5.457500696182251,117326.0,16.0,520.0,142728.44039345632,2.853283405303955,143801.55379222656,246.0,111.0,-1910577.1023937648
29,115719.54631365532,12.82051282051282,0.0,39.0,25.0,79.0,79.2122004032135,246.9381346702576,5.256040573120117,117326.0,13.0,520.0,138209.7543136554,2.8479340076446533,138858.33031365537,227.0,104.0,-1712367.694109505
2,113875.068945549,11.79245283018868,1.0,38.0,36.0,79.0,182.9698598384857,305.0390739440918,6.027702331542969,117326.0,18.0,520.0,139082.98889155028,3.4877490997314453,140039.7248915503,287.0,107.0,-3086665.4334954917
30,112737.18599990071,11.764705882352942,0.0,40.0,37.0,78.0,79.31781148910522,244.40986847877505,5.321426630020142,117326.0,13.0,520.0,144748.31939867104,2.8015329837799072,145751.7884736215,207.0,114.0,-1382852.2650246571
3,109106.0980439904,11.904761904761903,2.0,33.0,43.0,73.0,98.36870884895325,259.5205969810486,5.3399763107299805,117326.0,14.0,520.0,143344.50918667443,2.8836681842803955,144194.68518667444,241.0,112.0,-1981184.5493954616
4,107506.43836136998,8.305647840531561,25.0,28.0,86.0,71.0,116.38987851142883,259.3620283603668,5.3357133865356445,117326.0,16.0,520.0,142115.10644296376,2.7440004348754883,142947.4984429631,244.0,110.0,-2270828.212958917
5,114518.91765850173,8.361204013377927,24.0,32.0,76.0,78.0,97.30686831474304,262.758229970932,5.662278175354004,117326.0,14.0,520.0,141465.33630041275,3.293963670730591,142192.3253753632,239.0,109.0,-1613529.1691935211
6,112064.424715364,8.389261744966444,38.0,25.0,72.0,72.0,103.35153675079346,259.0151722431183,5.280324220657349,117326.0,16.0,520.0,140055.1980785855,2.8053526878356934,140695.82347735576,278.0,107.0,-1916534.1528947928
7,104353.6860879092,7.598784194528876,22.0,26.0,110.0,70.0,145.12314414978027,264.5847017765045,5.300230741500855,117326.0,23.0,520.0,144801.06901876777,2.8297340869903564,145608.621018762,308.0,113.0,-3171630.0600858983
8,122659.4187041571,6.756756756756757,40.0,43.0,90.0,88.0,102.22479438781738,295.5502531528473,5.34349799156189,117326.0,16.0,520.0,139890.52336208214,2.939363956451416,140466.52336208208,445.0,106.0,-3014517.305654038
9,107875.27649739412,11.160714285714286,9.0,29.0,50.0,71.0,84.66975212097168,249.56243419647217,5.306727647781372,117326.0,14.0,520.0,140148.22210400226,2.82073712348938,140826.1111789527,258.0,108.0,-2073662.131698102
