Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Filter_time,Iteration_time
1,exp_2_zmin_50_k_50_i_10,2025-08-10 20:04:19,169661.37,114,inf,0.5309,0.0945,61.1917,0.004,61.824
2,exp_2_zmin_50_k_50_i_10,2025-08-10 20:05:21,169661.37,155,0.0,0.4192,0.071,87.0849,0.003,87.5804
3,exp_2_zmin_50_k_50_i_10,2025-08-10 20:06:49,169506.42,178,154.94,0.4526,0.073,61.4437,0.005,61.9753
4,exp_2_zmin_50_k_50_i_10,2025-08-10 20:07:51,169351.48,220,154.94,0.5581,0.0671,115.1397,0.0041,115.7693
5,exp_2_zmin_50_k_50_i_10,2025-08-10 20:09:47,169351.48,249,0.0,0.6616,0.0778,80.4063,0.0048,81.1539
6,exp_2_zmin_50_k_50_i_10,2025-08-10 20:11:08,169351.48,281,0.0,0.6907,0.0699,86.2459,0.0036,87.0126
7,exp_2_zmin_50_k_50_i_10,2025-08-10 20:12:35,169351.48,323,0.0,0.7795,0.0556,75.4252,0.003,76.2633
8,exp_2_zmin_50_k_50_i_10,2025-08-10 20:13:51,169351.48,353,0.0,0.8739,0.0834,86.2257,0.002,87.1886
9,exp_2_zmin_50_k_50_i_10,2025-08-10 20:15:19,169311.16,364,40.32,1.5064,0.075,88.9821,0.003,90.5675
10,exp_2_zmin_50_k_50_i_10,2025-08-10 20:16:49,169311.16,387,0.0,0.9575,0.0753,71.2262,0.005,72.265
11,exp_2_zmin_50_k_50_i_10,2025-08-10 20:18:01,169230.52,410,80.64,1.0006,0.064,86.1528,0.002,87.2204
12,exp_2_zmin_50_k_50_i_10,2025-08-10 20:19:29,169230.52,437,0.0,1.348,0.1302,83.4829,0.003,84.9671
13,exp_2_zmin_50_k_50_i_10,2025-08-10 20:20:54,169230.52,465,0.0,1.1023,0.058,64.5501,0.003,65.7154
14,exp_2_zmin_50_k_50_i_10,2025-08-10 20:21:59,169230.52,486,0.0,1.1959,0.0659,61.7889,0.005,63.0577
15,exp_2_zmin_50_k_50_i_10,2025-08-10 20:23:03,169230.52,521,0.0,1.2765,0.0772,66.5218,0.004,67.8795
16,exp_2_zmin_50_k_50_i_10,2025-08-10 20:24:11,169230.52,554,0.0,1.4824,0.0596,56.8271,0.0035,58.3761
17,exp_2_zmin_50_k_50_i_10,2025-08-10 20:25:09,169230.52,580,0.0,1.4659,0.0568,60.9046,0.0025,62.4308
18,exp_2_zmin_50_k_50_i_10,2025-08-10 20:26:11,169230.52,607,0.0,1.3924,0.0546,74.8937,0.003,76.3456
19,exp_2_zmin_50_k_50_i_10,2025-08-10 20:27:28,169230.52,631,0.0,1.5222,0.0601,65.2921,0.0038,66.8791
20,exp_2_zmin_50_k_50_i_10,2025-08-10 20:28:35,169230.52,660,0.0,1.6365,0.057,69.7643,0.003,71.4628
21,exp_2_zmin_50_k_50_i_10,2025-08-10 20:29:46,169230.52,696,0.0,1.5489,0.0,0.0,0.0,1.5499
