Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Filter_time,Iteration_time
1,exp_1_zmin_50_k_30_i_10,2025-08-09 17:33:36,182042.2,130,inf,0.3872,0.059,116.6718,0.002,117.1221
2,exp_1_zmin_50_k_30_i_10,2025-08-09 17:35:33,182042.2,160,0.0,0.3972,0.057,69.7108,0.003,70.17
3,exp_1_zmin_50_k_30_i_10,2025-08-09 17:36:44,182042.2,190,0.0,0.4826,0.055,65.2317,0.004,65.7739
4,exp_1_zmin_50_k_30_i_10,2025-08-09 17:37:49,182042.2,220,0.0,0.5276,0.057,104.6358,0.003,105.2235
5,exp_1_zmin_50_k_30_i_10,2025-08-09 17:39:35,181961.56,250,80.64,0.6251,0.058,88.4507,0.0039,89.1386
6,exp_1_zmin_50_k_30_i_10,2025-08-09 17:41:04,181806.61,280,154.94,0.6858,0.056,87.8199,0.003,88.5667
7,exp_1_zmin_50_k_30_i_10,2025-08-09 17:42:33,181806.61,310,0.0,0.734,0.0683,116.554,0.0025,117.3627
8,exp_1_zmin_50_k_30_i_10,2025-08-09 17:44:30,181806.61,340,0.0,0.8432,0.0663,91.6062,0.003,92.5197
9,exp_1_zmin_50_k_30_i_10,2025-08-09 17:46:03,181725.97,367,80.64,0.8543,0.0708,59.4454,0.007,60.3785
10,exp_1_zmin_50_k_30_i_10,2025-08-09 17:47:03,181725.97,397,0.0,0.951,0.058,73.9122,0.002,74.9262
11,exp_1_zmin_50_k_30_i_10,2025-08-09 17:48:18,181725.97,418,0.0,0.9586,0.059,80.6826,0.003,81.7062
12,exp_1_zmin_50_k_30_i_10,2025-08-09 17:49:40,181725.97,448,0.0,1.0431,0.057,68.8163,0.003,69.9213
13,exp_1_zmin_50_k_30_i_10,2025-08-09 17:50:50,181725.97,478,0.0,1.107,0.0566,82.1773,0.003,83.3449
14,exp_1_zmin_50_k_30_i_10,2025-08-09 17:52:13,181571.03,507,154.94,1.1826,0.057,70.5207,0.003,71.7643
15,exp_1_zmin_50_k_30_i_10,2025-08-09 17:53:25,181571.03,537,0.0,1.4282,0.058,66.2035,0.003,67.6941
16,exp_1_zmin_50_k_30_i_10,2025-08-09 17:54:33,181571.03,567,0.0,1.3555,0.055,41.0117,0.0026,42.4258
17,exp_1_zmin_50_k_30_i_10,2025-08-09 17:55:15,181571.03,597,0.0,1.408,0.057,52.6303,0.003,54.0998
18,exp_1_zmin_50_k_30_i_10,2025-08-09 17:56:09,181571.03,627,0.0,1.488,0.072,78.9471,0.0025,80.5096
19,exp_1_zmin_50_k_30_i_10,2025-08-09 17:57:30,181490.39,651,80.64,1.6033,0.055,59.6454,0.002,61.3084
20,exp_1_zmin_50_k_30_i_10,2025-08-09 17:58:31,181490.39,670,0.0,1.6009,0.059,55.1404,0.003,56.8047
21,exp_1_zmin_50_k_30_i_10,2025-08-09 17:59:28,181490.39,700,0.0,1.6412,0.055,43.657,0.002,45.3592
22,exp_1_zmin_50_k_30_i_10,2025-08-09 18:00:14,181490.39,719,0.0,1.7092,0.056,63.9579,0.002,65.7272
23,exp_1_zmin_50_k_30_i_10,2025-08-09 18:01:19,181490.39,738,0.0,1.7,0.056,69.6128,0.003,71.3747
24,exp_1_zmin_50_k_30_i_10,2025-08-09 18:02:31,181490.39,768,0.0,1.8073,0.056,51.8009,0.003,53.6672
25,exp_1_zmin_50_k_30_i_10,2025-08-09 18:03:25,181490.39,798,0.0,1.8737,0.059,77.3312,0.003,79.2698
26,exp_1_zmin_50_k_30_i_10,2025-08-09 18:04:44,181490.39,828,0.0,2.0452,0.0759,59.5739,0.003,61.7124
27,exp_1_zmin_50_k_30_i_10,2025-08-09 18:05:46,181490.39,858,0.0,2.0501,0.0591,80.4763,0.0024,82.5884
28,exp_1_zmin_50_k_30_i_10,2025-08-09 18:07:08,181490.39,888,0.0,2.0698,0.057,68.4063,0.004,70.5381
29,exp_1_zmin_50_k_30_i_10,2025-08-09 18:08:19,181490.39,918,0.0,2.1759,0.0,0.0,0.0,2.2019
