Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Filter_time,Iteration_time
1,exp_3_zmin_50_k_30_i_10,2025-08-09 18:43:36,174036.02,119,inf,0.4708,0.0677,68.4489,0.003,68.9924
2,exp_3_zmin_50_k_30_i_10,2025-08-09 18:44:45,174036.02,149,0.0,0.416,0.0625,74.6031,0.003,75.0855
3,exp_3_zmin_50_k_30_i_10,2025-08-09 18:46:00,174036.02,179,0.0,0.4897,0.059,67.4514,0.003,68.0051
4,exp_3_zmin_50_k_30_i_10,2025-08-09 18:47:08,173726.13,209,309.89,0.5071,0.0599,81.9107,0.003,82.4816
5,exp_3_zmin_50_k_30_i_10,2025-08-09 18:48:31,173416.25,239,309.89,0.6568,0.075,98.1208,0.0026,98.8572
6,exp_3_zmin_50_k_30_i_10,2025-08-09 18:50:10,173416.25,269,0.0,0.6661,0.0602,102.4384,0.0031,103.1683
7,exp_3_zmin_50_k_30_i_10,2025-08-09 18:51:53,173416.25,299,0.0,0.7478,0.0586,84.5878,0.003,85.3998
8,exp_3_zmin_50_k_30_i_10,2025-08-09 18:53:19,173416.25,329,0.0,0.9057,0.0554,71.838,0.0026,72.8037
9,exp_3_zmin_50_k_30_i_10,2025-08-09 18:54:32,173416.25,353,0.0,1.1151,0.0793,72.8385,0.0032,74.0377
10,exp_3_zmin_50_k_30_i_10,2025-08-09 18:55:46,173416.25,383,0.0,1.0737,0.0615,51.7103,0.0016,52.8495
11,exp_3_zmin_50_k_30_i_10,2025-08-09 18:56:38,173375.93,403,40.32,0.9598,0.0578,58.0318,0.003,59.054
12,exp_3_zmin_50_k_30_i_10,2025-08-09 18:57:37,173375.93,433,0.0,1.0453,0.0623,64.8388,0.003,65.9512
13,exp_3_zmin_50_k_30_i_10,2025-08-09 18:58:43,173335.61,452,40.32,1.1208,0.0581,74.832,0.0123,76.0241
14,exp_3_zmin_50_k_30_i_10,2025-08-09 19:00:00,173335.61,482,0.0,1.1754,0.0618,99.7727,0.003,101.0158
15,exp_3_zmin_50_k_30_i_10,2025-08-09 19:01:41,173335.61,512,0.0,1.1773,0.0,0.0,0.0,1.1783
