Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Filter_time,Iteration_time
1,exp_8_zmin_50_k_30_i_10,2025-08-09 20:21:52,178135.6,122,inf,0.5453,0.072,56.9448,0.002,57.5672
2,exp_8_zmin_50_k_30_i_10,2025-08-09 20:22:50,178135.6,152,0.0,0.45,0.061,100.1918,0.002,100.7058
3,exp_8_zmin_50_k_30_i_10,2025-08-09 20:24:31,177825.71,171,309.89,0.5632,0.063,79.2721,0.002,79.9034
4,exp_8_zmin_50_k_30_i_10,2025-08-09 20:25:51,177825.71,201,0.0,0.582,0.068,74.9981,0.005,75.6541
5,exp_8_zmin_50_k_30_i_10,2025-08-09 20:27:06,177825.71,231,0.0,0.7987,0.0783,85.3019,0.003,86.185
6,exp_8_zmin_50_k_30_i_10,2025-08-09 20:28:33,177825.71,251,0.0,0.6667,0.072,121.8306,0.003,122.5733
7,exp_8_zmin_50_k_30_i_10,2025-08-09 20:30:35,177825.71,280,0.0,0.7456,0.0617,51.2661,0.003,52.08
8,exp_8_zmin_50_k_30_i_10,2025-08-09 20:31:27,177745.07,309,80.64,0.808,0.075,90.939,0.004,91.83
9,exp_8_zmin_50_k_30_i_10,2025-08-09 20:32:59,177704.75,339,40.32,0.8984,0.078,69.6309,0.003,70.6103
10,exp_8_zmin_50_k_30_i_10,2025-08-09 20:34:10,177664.43,369,40.32,0.9811,0.068,67.1898,0.002,68.2409
11,exp_8_zmin_50_k_30_i_10,2025-08-09 20:35:18,177664.43,387,0.0,1.0187,0.091,75.0812,0.0025,76.1944
12,exp_8_zmin_50_k_30_i_10,2025-08-09 20:36:34,177664.43,408,0.0,1.0518,0.0672,51.9219,0.003,53.0458
13,exp_8_zmin_50_k_30_i_10,2025-08-09 20:37:28,177664.43,438,0.0,1.2637,0.088,69.646,0.0025,71.0012
14,exp_8_zmin_50_k_30_i_10,2025-08-09 20:38:39,177664.43,463,0.0,1.3015,0.0666,73.5116,0.0045,74.8863
15,exp_8_zmin_50_k_30_i_10,2025-08-09 20:39:54,177664.43,493,0.0,1.2515,0.0784,70.2688,0.003,71.6035
16,exp_8_zmin_50_k_30_i_10,2025-08-09 20:41:05,177664.43,523,0.0,1.4335,0.0667,61.8102,0.003,63.3153
17,exp_8_zmin_50_k_30_i_10,2025-08-09 20:42:09,177664.43,553,0.0,1.4141,0.0744,83.2259,0.002,84.7195
18,exp_8_zmin_50_k_30_i_10,2025-08-09 20:43:33,177664.43,576,0.0,1.4853,0.0,0.0,0.0,1.4859
