Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Filter_time,Iteration_time
1,exp_11_zmin_50_k_30_i_10,2025-08-09 21:36:07,171545.59,115,inf,0.3694,0.065,79.6688,0.0035,80.1067
2,exp_11_zmin_50_k_30_i_10,2025-08-09 21:37:27,171545.59,145,0.0,0.4411,0.059,132.2064,0.006,132.7152
3,exp_11_zmin_50_k_30_i_10,2025-08-09 21:39:40,171545.59,175,0.0,0.4533,0.059,74.0143,0.003,74.5306
4,exp_11_zmin_50_k_30_i_10,2025-08-09 21:40:54,171545.59,205,0.0,0.5143,0.079,90.8745,0.004,91.4738
5,exp_11_zmin_50_k_30_i_10,2025-08-09 21:42:26,171545.59,235,0.0,0.6257,0.0631,91.0132,0.003,91.706
6,exp_11_zmin_50_k_30_i_10,2025-08-09 21:43:58,171545.59,265,0.0,0.671,0.061,92.4919,0.0036,93.2291
7,exp_11_zmin_50_k_30_i_10,2025-08-09 21:45:31,171545.59,295,0.0,0.75,0.061,64.04,0.0024,64.8559
8,exp_11_zmin_50_k_30_i_10,2025-08-09 21:46:36,171545.59,325,0.0,0.8721,0.0629,79.9285,0.003,80.8686
9,exp_11_zmin_50_k_30_i_10,2025-08-09 21:47:57,171545.59,353,0.0,0.8434,0.0641,77.0978,0.003,78.0104
10,exp_11_zmin_50_k_30_i_10,2025-08-09 21:49:15,171545.59,383,0.0,1.0395,0.06,68.8535,0.003,69.956
11,exp_11_zmin_50_k_30_i_10,2025-08-09 21:50:25,171195.38,413,350.21,1.2091,0.063,84.6976,0.003,85.9764
12,exp_11_zmin_50_k_30_i_10,2025-08-09 21:51:51,171195.38,443,0.0,1.0899,0.0785,65.1063,0.004,66.2797
13,exp_11_zmin_50_k_30_i_10,2025-08-09 21:52:57,171195.38,473,0.0,1.2234,0.061,82.9336,0.0045,84.2254
14,exp_11_zmin_50_k_30_i_10,2025-08-09 21:54:22,171195.38,503,0.0,1.2457,0.064,94.5946,0.004,95.9102
15,exp_11_zmin_50_k_30_i_10,2025-08-09 21:55:58,171195.38,533,0.0,1.3826,0.06,70.5284,0.004,71.9769
16,exp_11_zmin_50_k_30_i_10,2025-08-09 21:57:10,171195.38,553,0.0,1.4067,0.064,59.6158,0.003,61.0935
17,exp_11_zmin_50_k_30_i_10,2025-08-09 21:58:11,171195.38,583,0.0,1.4522,0.059,68.3043,0.004,69.8215
18,exp_11_zmin_50_k_30_i_10,2025-08-09 21:59:21,171195.38,613,0.0,1.6,0.06,52.2387,0.003,53.9026
19,exp_11_zmin_50_k_30_i_10,2025-08-09 22:00:15,171195.38,639,0.0,1.5564,0.058,45.2147,0.004,46.836
20,exp_11_zmin_50_k_30_i_10,2025-08-09 22:01:02,171195.38,669,0.0,1.7366,0.063,51.0033,0.003,52.8087
21,exp_11_zmin_50_k_30_i_10,2025-08-09 22:01:54,171155.06,688,40.32,1.6731,0.0,0.0,0.0,1.6741
