Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Filter_time,Iteration_time
1,exp_13_zmin_50_k_30_i_10,2025-08-09 22:31:17,183187.73,133,inf,0.3882,0.06,80.9548,0.002,81.4086
2,exp_13_zmin_50_k_30_i_10,2025-08-09 22:32:39,183147.41,163,40.32,0.4264,0.059,101.6762,0.002,102.1666
3,exp_13_zmin_50_k_30_i_10,2025-08-09 22:34:21,183147.41,193,0.0,0.516,0.058,99.1057,0.003,99.6837
4,exp_13_zmin_50_k_30_i_10,2025-08-09 22:36:01,182992.46,217,154.94,0.6421,0.088,93.7532,0.003,94.4883
5,exp_13_zmin_50_k_30_i_10,2025-08-09 22:37:35,182837.52,247,154.94,0.6086,0.067,125.3894,0.003,126.069
6,exp_13_zmin_50_k_30_i_10,2025-08-09 22:39:41,182837.52,272,0.0,0.6852,0.064,88.8864,0.004,89.6416
7,exp_13_zmin_50_k_30_i_10,2025-08-09 22:41:11,182837.52,302,0.0,0.7342,0.058,72.3107,0.002,73.1059
8,exp_13_zmin_50_k_30_i_10,2025-08-09 22:42:24,182837.52,326,0.0,0.8431,0.0595,59.8622,0.003,60.7697
9,exp_13_zmin_50_k_30_i_10,2025-08-09 22:43:25,182837.52,353,0.0,0.9634,0.0609,52.5066,0.003,53.534
10,exp_13_zmin_50_k_30_i_10,2025-08-09 22:44:19,182837.52,382,0.0,0.9892,0.062,85.8108,0.0032,86.8673
11,exp_13_zmin_50_k_30_i_10,2025-08-09 22:45:46,182837.52,412,0.0,1.1271,0.0644,59.9229,0.003,61.1174
12,exp_13_zmin_50_k_30_i_10,2025-08-09 22:46:47,182837.52,442,0.0,1.0667,0.059,85.3011,0.002,86.4289
13,exp_13_zmin_50_k_30_i_10,2025-08-09 22:48:13,182837.52,462,0.0,1.1305,0.0631,57.3268,0.002,58.5253
14,exp_13_zmin_50_k_30_i_10,2025-08-09 22:49:12,182756.88,488,80.64,1.1395,0.059,86.2241,0.0032,87.4265
15,exp_13_zmin_50_k_30_i_10,2025-08-09 22:50:39,182756.88,518,0.0,1.265,0.061,69.4987,0.002,70.8298
16,exp_13_zmin_50_k_30_i_10,2025-08-09 22:51:50,182756.88,548,0.0,1.4043,0.061,78.6982,0.003,80.1685
17,exp_13_zmin_50_k_30_i_10,2025-08-09 22:53:10,182756.88,574,0.0,1.3596,0.063,48.3104,0.0031,49.7371
18,exp_13_zmin_50_k_30_i_10,2025-08-09 22:54:00,182756.88,593,0.0,1.4894,0.064,45.3099,0.003,46.867
19,exp_13_zmin_50_k_30_i_10,2025-08-09 22:54:47,182756.88,623,0.0,1.6005,0.059,57.4637,0.0037,59.1269
20,exp_13_zmin_50_k_30_i_10,2025-08-09 22:55:46,182756.88,653,0.0,1.6005,0.129,60.8434,0.003,62.6014
21,exp_13_zmin_50_k_30_i_10,2025-08-09 22:56:49,182756.88,678,0.0,1.6867,0.059,59.4537,0.0031,61.2035
22,exp_13_zmin_50_k_30_i_10,2025-08-09 22:57:50,182756.88,708,0.0,1.7864,0.064,67.4855,0.0023,69.3389
23,exp_13_zmin_50_k_30_i_10,2025-08-09 22:59:00,182756.88,738,0.0,1.8445,0.073,71.7074,0.003,73.6299
24,exp_13_zmin_50_k_30_i_10,2025-08-09 23:00:14,182756.88,768,0.0,1.9478,0.0,0.0,0.0,1.9488
