Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Filter_time,Iteration_time
1,exp_1_zmin_50_k_50_i_10,2025-08-10 20:59:17,184073.43,119,inf,0.3367,0.0801,102.3437,0.003,102.7655
2,exp_1_zmin_50_k_50_i_10,2025-08-10 21:01:00,184073.43,164,0.0,0.429,0.0883,168.222,0.0027,168.7436
3,exp_1_zmin_50_k_50_i_10,2025-08-10 21:03:49,184073.43,192,0.0,0.5309,0.152,111.244,0.0027,111.9301
4,exp_1_zmin_50_k_50_i_10,2025-08-10 21:05:41,184073.43,219,0.0,0.6288,0.088,132.457,0.003,133.1787
5,exp_1_zmin_50_k_50_i_10,2025-08-10 21:07:54,184073.43,244,0.0,0.6007,0.094,121.3398,0.002,122.0375
6,exp_1_zmin_50_k_50_i_10,2025-08-10 21:09:56,184073.43,258,0.0,0.6631,0.1065,112.3573,0.0055,113.1335
7,exp_1_zmin_50_k_50_i_10,2025-08-10 21:11:49,184073.43,281,0.0,0.675,0.077,93.1802,0.0048,93.9392
8,exp_1_zmin_50_k_50_i_10,2025-08-10 21:13:23,184073.43,301,0.0,0.7142,0.0981,126.9663,0.002,127.7827
9,exp_1_zmin_50_k_50_i_10,2025-08-10 21:15:31,184073.43,326,0.0,0.7614,0.08,87.3169,0.003,88.1614
10,exp_1_zmin_50_k_50_i_10,2025-08-10 21:17:00,184073.43,350,0.0,1.1878,0.087,93.4138,0.003,94.692
11,exp_1_zmin_50_k_50_i_10,2025-08-10 21:18:34,184073.43,373,0.0,0.8747,0.0,0.0,0.0,0.8767
