Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Filter_time,Iteration_time
1,exp_0_zmin_50_k_30_i_10,2025-08-11 23:44:05,173900.92,112,inf,0.4752,0.0801,124.3316,0.0,124.9525
2,exp_0_zmin_50_k_30_i_10,2025-08-11 23:46:10,173900.92,142,0.0,0.4355,0.0711,102.0845,0.0,102.6932
3,exp_0_zmin_50_k_30_i_10,2025-08-11 23:47:52,173900.92,172,0.0,0.5232,0.064,114.9614,0.0082,115.7149
4,exp_0_zmin_50_k_30_i_10,2025-08-11 23:49:48,173900.92,202,0.0,0.6237,0.057,133.2178,0.0006,133.9528
5,exp_0_zmin_50_k_30_i_10,2025-08-11 23:52:02,173900.92,232,0.0,0.6002,0.0579,130.8667,0.0,131.5935
6,exp_0_zmin_50_k_30_i_10,2025-08-11 23:54:14,173900.92,262,0.0,0.6622,0.0662,153.6338,0.0065,154.4398
7,exp_0_zmin_50_k_30_i_10,2025-08-11 23:56:48,173900.92,292,0.0,0.756,0.0543,94.7861,0.005,95.6633
8,exp_0_zmin_50_k_30_i_10,2025-08-11 23:58:24,173900.92,322,0.0,1.0185,0.0865,73.0309,0.0123,74.2093
9,exp_0_zmin_50_k_30_i_10,2025-08-11 23:59:38,173900.92,352,0.0,0.911,0.0647,80.0471,0.004,81.1222
10,exp_0_zmin_50_k_30_i_10,2025-08-12 00:00:59,173900.92,382,0.0,0.9841,0.0891,104.2513,0.0014,105.4677
11,exp_0_zmin_50_k_30_i_10,2025-08-12 00:02:45,173900.92,412,0.0,1.2445,0.0,0.0,0.0,1.2455
