Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Label_time,Filter_time,Iteration_time
001,0,2025-08-31 00:12:47,230947.14,407,0.0,0.121,0.108,76.9018,0.004,0.001,77.1438
002,0,2025-08-31 00:12:47,229477.16,437,1469.97,0.126,0.106,108.4419,0.011,0.001,108.7899
003,0,2025-08-31 00:12:47,229477.16,467,0.0,0.134,0.109,96.3914,0.01,0.001,96.6549
004,0,2025-08-31 00:12:47,229477.16,497,0.0,0.133,0.11,194.3894,0.006,0.001,194.6515
005,0,2025-08-31 00:12:47,229053.8,527,423.36,0.136,0.105,87.7153,0.013,0.001,87.9824
006,0,2025-08-31 00:12:47,229053.8,557,0.0,0.1406,0.103,214.8212,0.014,0.001,215.0938
007,0,2025-08-31 00:12:47,229053.8,587,0.0,0.151,0.105,101.8696,0.007,0.001,102.1456
008,0,2025-08-31 00:12:47,229053.8,617,0.0,0.1558,0.108,175.4345,0.008,0.002,175.7203
009,0,2025-08-31 00:12:47,229053.8,647,0.0,0.1545,0.108,174.642,0.0093,0.001,174.9251
010,0,2025-08-31 00:12:47,229053.8,677,0.0,0.2738,0.1115,152.823,0.009,0.001,153.2283
011,0,2025-08-31 00:12:47,229053.8,707,0.0,0.187,0.155,141.5335,0.0221,0.0027,141.9219
012,0,2025-08-31 00:12:47,229053.8,737,0.0,0.1811,0.106,94.3606,0.0144,0.0005,94.6748
013,0,2025-08-31 00:12:47,229053.8,767,0.0,0.1844,0.111,145.0168,0.009,0.001,145.3352
014,0,2025-08-31 00:12:47,229053.8,797,0.0,0.1845,0.115,105.753,0.007,0.001,106.0755
015,0,2025-08-31 00:12:47,229053.8,827,0.0,0.1916,0.1998,165.515,0.008,0.001,165.9307
016,0,2025-08-31 00:12:47,229053.8,857,0.0,0.1842,0.119,107.119,0.009,0.001,107.4472
