Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Label_time,Filter_time,Iteration_time
001,5,2025-09-01 18:44:11,186844.6,370,0.0,0.1641,0.1256,4.3363,0.017,0.0,4.6542
002,5,2025-09-01 18:44:11,186247.37,394,597.23,0.127,0.1306,5.7557,0.022,0.001,6.0458
003,5,2025-09-01 18:44:11,186011.21,411,236.16,0.123,0.117,4.9051,0.011,0.007,5.1722
004,5,2025-09-01 18:44:11,186011.21,451,0.0,0.123,0.119,4.6176,0.017,0.001,4.8876
005,5,2025-09-01 18:44:11,186011.21,477,0.0,0.124,0.1154,6.014,0.0124,0.0012,6.2794
006,5,2025-09-01 18:44:11,186011.21,497,0.0,0.161,0.1394,5.4448,0.008,0.001,5.7638
007,5,2025-09-01 18:44:11,186011.21,515,0.0,0.178,0.111,5.0629,0.016,0.001,5.3789
008,5,2025-09-01 18:44:11,186011.21,533,0.0,0.149,0.124,5.5054,0.02,0.001,5.8083
009,5,2025-09-01 18:44:11,186011.21,550,0.0,0.149,0.1225,5.2537,0.006,0.001,5.5408
010,5,2025-09-01 18:44:11,186011.21,575,0.0,0.208,0.1245,5.725,0.006,0.0,6.0785
011,5,2025-09-01 18:44:11,186011.21,596,0.0,0.166,0.111,5.8026,0.0145,0.001,6.1076
012,5,2025-09-01 18:44:11,186011.21,628,0.0,0.2136,0.122,7.9794,0.007,0.001,8.334
013,5,2025-09-01 18:44:11,186011.21,661,0.0,0.211,0.11,6.1243,0.0173,0.0011,6.4736
014,5,2025-09-01 18:44:11,186011.21,696,0.0,0.1802,0.109,6.7147,0.015,0.001,7.0304
015,5,2025-09-01 18:44:11,186011.21,729,0.0,0.164,0.1227,6.47,0.014,0.0,6.7834
016,5,2025-09-01 18:44:11,186011.21,762,0.0,0.178,0.111,7.4819,0.011,0.001,7.7938
017,5,2025-09-01 18:44:11,186011.21,801,0.0,0.202,0.111,5.7801,0.007,0.0,6.1141
018,5,2025-09-01 18:44:11,185806.3,837,204.91,0.207,0.111,6.3324,0.009,0.001,6.6704
019,5,2025-09-01 18:44:11,185806.3,881,0.0,0.2295,0.1809,7.0691,0.011,0.001,7.506
020,5,2025-09-01 18:44:11,185806.3,916,0.0,0.3245,0.118,5.8423,0.01,0.001,6.3107
021,5,2025-09-01 18:44:11,185714.4,963,91.91,0.221,0.11,6.0069,0.01,0.001,6.3629
022,5,2025-09-01 18:44:11,185707.93,1011,6.47,0.215,0.149,6.589,0.008,0.001,6.975
