,trip_id,line,start_cp,start_cp_id,dest_cp,dest_cp_id,departure_time,departure_time_str,datetime_obj,datetime_float,pdf,speed,departure_interval,planned_travel_time
0,l4_cp1_1,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 05:49:00,05:49,2025-08-08 05:49:00,5.833333333333333,0.057384656442490016,20.010203031178317,0.0,72.0
1,l4_cp1_3,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 05:54:00,05:54,2025-08-08 05:54:00,5.90658013488,0.060511994752649866,19.69043495485241,5.0,73.0
2,l4_cp1_5,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 05:59:00,05:59,2025-08-08 05:59:00,5.997285525057224,0.06440875834236057,19.291993701173354,5.0,75.0
3,l4_cp1_7,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 06:06:00,06:06,2025-08-08 06:06:00,6.102731988234218,0.06893772779105027,18.828909856473388,7.0,76.0
4,l4_cp1_9,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 06:11:00,06:11,2025-08-08 06:11:00,6.1946699207805125,0.07285123193424994,18.428756893329318,5.0,78.0
5,l4_cp1_11,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 06:18:00,06:18,2025-08-08 06:18:00,6.306645006373182,0.07752458458847479,17.95090997047508,7.0,80.0
6,l4_cp1_13,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 06:23:00,06:23,2025-08-08 06:23:00,6.394030771400433,0.08106455572185273,17.58895048694493,5.0,82.0
7,l4_cp1_15,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 06:27:00,06:27,2025-08-08 06:27:00,6.455952757557347,0.0834986946790237,17.340061542210094,4.0,83.0
8,l4_cp1_17,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 06:33:00,06:33,2025-08-08 06:33:00,6.563901659360541,0.0875606777334674,16.92472671797053,6.0,85.0
9,l4_cp1_19,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 06:39:00,06:39,2025-08-08 06:39:00,6.657921227802394,0.09087490537965319,16.58584934244514,6.0,87.0
10,l4_cp1_21,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 06:46:00,06:46,2025-08-08 06:46:00,6.77104234436599,0.09453561646304062,16.211544286507685,7.0,89.0
11,l4_cp1_23,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 06:52:00,06:52,2025-08-08 06:52:00,6.875482620812885,0.0975523739295474,15.903083021324838,6.0,91.0
12,l4_cp1_25,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 06:56:00,06:56,2025-08-08 06:56:00,6.942723635384922,0.09929034162422797,15.72537708377433,4.0,92.0
13,l4_cp1_27,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 07:01:00,07:01,2025-08-08 07:01:00,7.0287836510509765,0.10126265340121579,15.523709633600033,5.0,93.0
14,l4_cp1_29,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 07:08:00,07:08,2025-08-08 07:08:00,7.1344278312866845,0.10327161368538527,15.318294900119795,7.0,94.0
15,l4_cp1_31,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 07:14:00,07:14,2025-08-08 07:14:00,7.248467568258784,0.10489935216174748,15.151859820276643,6.0,95.0
16,l4_cp1_33,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 07:18:00,07:18,2025-08-08 07:18:00,7.302702750483126,0.10546833555953965,15.093681680104758,4.0,95.0
17,l4_cp1_35,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 07:23:00,07:23,2025-08-08 07:23:00,7.385820296543199,0.10607686366530429,15.031460122194492,5.0,96.0
18,l4_cp1_37,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 07:27:00,07:27,2025-08-08 07:27:00,7.462591213440454,0.10635155145166321,15.003373495062128,4.0,96.0
19,l4_cp1_39,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 07:31:00,07:31,2025-08-08 07:31:00,7.521702809107266,0.10637349920629902,15.001129353052686,4.0,96.0
20,l4_cp1_41,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 07:36:00,07:36,2025-08-08 07:36:00,7.60703378575693,0.1061141480065237,15.027647825318876,5.0,96.0
21,l4_cp1_43,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 07:40:00,07:40,2025-08-08 07:40:00,7.676260308997108,0.10565270468883856,15.074830070217121,4.0,96.0
22,l4_cp1_45,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 07:48:00,07:48,2025-08-08 07:48:00,7.815099434901152,0.1040631087245877,15.23736510583274,8.0,95.0
23,l4_cp1_47,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 07:52:00,07:52,2025-08-08 07:52:00,7.875711896058706,0.10309931971961463,15.335911833285628,4.0,94.0
24,l4_cp1_49,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 07:59:00,07:59,2025-08-08 07:59:00,7.983842875809491,0.10099173604331507,15.551410737154379,7.0,93.0
25,l4_cp1_51,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 08:03:00,08:03,2025-08-08 08:03:00,8.058817646520591,0.09925249646736081,15.729246723643591,4.0,92.0
26,l4_cp1_53,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 08:07:00,08:07,2025-08-08 08:07:00,8.123982939541339,0.0975669640404843,15.901591193052687,4.0,91.0
27,l4_cp1_55,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 08:12:00,08:12,2025-08-08 08:12:00,8.207410127073596,0.09518821240530402,16.14481682424442,5.0,89.0
28,l4_cp1_57,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 08:16:00,08:16,2025-08-08 08:16:00,8.275701968753403,0.09306971383743093,16.361431767868265,4.0,88.0
29,l4_cp1_59,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 08:23:00,08:23,2025-08-08 08:23:00,8.397693141074695,0.08894208034329369,16.783479301999993,7.0,86.0
30,l4_cp1_61,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 08:28:00,08:28,2025-08-08 08:28:00,8.480074274972141,0.0859366188732769,17.090785559726164,5.0,84.0
31,l4_cp1_63,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 08:35:00,08:35,2025-08-08 08:35:00,8.59776740632813,0.08139123924177905,17.555547333728395,7.0,82.0
32,l4_cp1_65,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 08:41:00,08:41,2025-08-08 08:41:00,8.691619104853826,0.077596477753569,17.943558946433814,6.0,80.0
33,l4_cp1_67,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-08 08:46:00,08:46,2025-08-08 08:46:00,8.776852514830903,0.07405213151394685,18.305965781407487,5.0,79.0
