,trip_id,line,start_cp,start_cp_id,dest_cp,dest_cp_id,departure_time,departure_time_str,datetime_obj,datetime_float,pdf,speed,departure_interval,planned_travel_time
0,l4_cp1_1,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 05:49:00,05:49,2025-08-16 05:49:00,5.833333333333333,0.057384656442490016,19.956485898291408,0.0,72.0
1,l4_cp1_3,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 06:23:00,06:23,2025-08-16 06:23:00,6.397749124838437,0.08121260552253975,17.49386666398358,34.0,82.0
2,l4_cp1_5,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 07:14:00,07:14,2025-08-16 07:14:00,7.246214383642677,0.10487281416516689,15.048583408789206,51.0,96.0
3,l4_cp1_7,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 08:06:00,08:06,2025-08-16 08:06:00,8.115271969912678,0.09780129655752794,15.779424960356003,52.0,91.0
4,l4_cp1_9,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 09:02:00,09:02,2025-08-16 09:02:00,9.039618548009752,0.06282289340227262,19.394443949448345,56.0,74.0
5,l4_cp1_11,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 11:32:00,11:32,2025-08-16 11:32:00,11.542881509802184,0.05613163713403599,20.08598548046659,150.0,72.0
6,l4_cp1_13,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 12:03:00,12:03,2025-08-16 12:03:00,12.0629554884506,0.0875954278482061,16.834201789950598,31.0,86.0
7,l4_cp1_15,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 14:41:00,14:41,2025-08-16 14:41:00,14.692799995385656,0.01479333775856882,24.358299929922687,158.0,59.0
8,l4_cp1_17,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 16:32:00,16:32,2025-08-16 16:32:00,16.548749818188345,0.055770203198164524,20.123339688309592,111.0,72.0
9,l4_cp1_19,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 17:23:00,17:23,2025-08-16 17:23:00,17.38571045386814,0.07685778149102492,17.943937855004105,51.0,80.0
10,l4_cp1_21,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 17:52:00,17:52,2025-08-16 17:52:00,17.883237071253852,0.08559375332111308,17.041074910867685,29.0,85.0
11,l4_cp1_23,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 18:35:00,18:35,2025-08-16 18:35:00,18.598821364071775,0.08965250675667188,16.62160262459825,43.0,87.0
12,l4_cp1_25,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 19:15:00,19:15,2025-08-16 19:15:00,19.253840993183164,0.08360700752309572,17.24640514719819,40.0,83.0
13,l4_cp1_27,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 19:32:00,19:32,2025-08-16 19:32:00,19.54209678955656,0.07836803709781288,17.78785289387284,17.0,81.0
14,l4_cp1_29,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 21:05:00,21:05,2025-08-16 21:05:00,21.084968324026654,0.038935413703827006,21.86321567490845,93.0,66.0
15,l4_cp2_2,4,cp2,cp2_l4,cp1,cp1_l4,2025-08-16 06:00:00,06:00,2025-08-16 06:00:00,6.0086185602573945,0.06489626751557401,19.180160674199662,0.0,75.0
16,l4_cp2_4,4,cp2,cp2_l4,cp1,cp1_l4,2025-08-16 06:49:00,06:49,2025-08-16 06:49:00,6.825312800430648,0.09614954707503126,15.950133317679963,49.0,90.0
17,l4_cp2_6,4,cp2,cp2_l4,cp1,cp1_l4,2025-08-16 07:17:00,07:17,2025-08-16 07:17:00,7.289568782796492,0.10534290023232531,15.0,28.0,96.0
18,l4_cp2_8,4,cp2,cp2_l4,cp1,cp1_l4,2025-08-16 08:14:00,08:14,2025-08-16 08:14:00,8.238642873336154,0.09423764993877312,16.14772794262859,57.0,89.0
19,l4_cp2_10,4,cp2,cp2_l4,cp1,cp1_l4,2025-08-16 11:24:00,11:24,2025-08-16 11:24:00,11.414738420486477,0.04417953319912142,21.321235771697506,190.0,68.0
20,l4_cp2_12,4,cp2,cp2_l4,cp1,cp1_l4,2025-08-16 11:46:00,11:46,2025-08-16 11:46:00,11.773793060577427,0.07614996993701242,18.017090199812323,22.0,80.0
21,l4_cp2_14,4,cp2,cp2_l4,cp1,cp1_l4,2025-08-16 14:04:00,14:04,2025-08-16 14:04:00,14.07238460370738,0.011763963147836842,24.671385884540516,138.0,58.0
22,l4_cp2_16,4,cp2,cp2_l4,cp1,cp1_l4,2025-08-16 15:40:00,15:40,2025-08-16 15:40:00,15.680823334978484,0.03323800780932002,22.452042740735063,96.0,64.0
23,l4_cp2_18,4,cp2,cp2_l4,cp1,cp1_l4,2025-08-16 16:51:00,16:51,2025-08-16 16:51:00,16.855925583396733,0.06402600244234766,19.270102594969835,71.0,75.0
24,l4_cp2_20,4,cp2,cp2_l4,cp1,cp1_l4,2025-08-16 17:40:00,17:40,2025-08-16 17:40:00,17.679726546278534,0.08252124718083288,17.35861851032577,49.0,83.0
25,l4_cp2_22,4,cp2,cp2_l4,cp1,cp1_l4,2025-08-16 17:56:00,17:56,2025-08-16 17:56:00,17.937461100189502,0.08628067262351752,16.970081780874185,16.0,85.0
26,l4_cp2_24,4,cp2,cp2_l4,cp1,cp1_l4,2025-08-16 18:54:00,18:54,2025-08-16 18:54:00,18.910073533091605,0.0878949042762835,16.803250892350153,58.0,86.0
27,l4_cp2_26,4,cp2,cp2_l4,cp1,cp1_l4,2025-08-16 19:30:00,19:30,2025-08-16 19:30:00,19.502314424935832,0.07916882465186383,17.705091476741423,36.0,81.0
28,l4_cp2_28,4,cp2,cp2_l4,cp1,cp1_l4,2025-08-16 19:36:00,19:36,2025-08-16 19:36:00,19.604240094693964,0.07707227328012202,17.92177012232778,6.0,80.0
29,l4_cp2_30,4,cp2,cp2_l4,cp1,cp1_l4,2025-08-16 22:49:00,22:49,2025-08-16 22:49:00,22.833333333333332,0.008584340288944054,25.0,193.0,58.0
30,l59_cp1_1,59,cp1,cp1_l59,cp2,cp2_l59,2025-08-16 06:40:00,06:40,2025-08-16 06:40:00,6.666666666666667,0.09117128069041198,16.89517504349212,0.0,40.0
31,l59_cp1_3,59,cp1,cp1_l59,cp2,cp2_l59,2025-08-16 07:57:00,07:57,2025-08-16 07:57:00,7.950896978812034,0.10168523738217715,15.0,77.0,46.0
32,l59_cp1_5,59,cp1,cp1_l59,cp2,cp2_l59,2025-08-16 08:17:00,08:17,2025-08-16 08:17:00,8.293340195098232,0.09249909898124008,16.655831458498973,20.0,41.0
33,l59_cp1_7,59,cp1,cp1_l59,cp2,cp2_l59,2025-08-16 12:59:00,12:59,2025-08-16 12:59:00,12.993077940526854,0.05314760936093271,23.74906602651439,282.0,29.0
34,l59_cp1_9,59,cp1,cp1_l59,cp2,cp2_l59,2025-08-16 19:41:00,19:41,2025-08-16 19:41:00,19.69788701993656,0.0750230353915704,19.805949016008405,402.0,35.0
35,l59_cp2_2,59,cp2,cp2_l59,cp1,cp1_l59,2025-08-16 06:49:00,06:49,2025-08-16 06:49:00,6.823760845860477,0.09610476085787097,16.00589912529715,0.0,43.0
36,l59_cp2_4,59,cp2,cp2_l59,cp1,cp1_l59,2025-08-16 08:13:00,08:13,2025-08-16 08:13:00,8.22506023015346,0.0946549053495226,16.2672403174521,84.0,42.0
37,l59_cp2_6,59,cp2,cp2_l59,cp1,cp1_l59,2025-08-16 08:50:00,08:50,2025-08-16 08:50:00,8.849637226739645,0.07097230058141708,20.53610719956076,37.0,33.0
38,l59_cp2_8,59,cp2,cp2_l59,cp1,cp1_l59,2025-08-16 13:09:00,13:09,2025-08-16 13:09:00,13.15419314789817,0.04620774084237594,25.0,259.0,27.0
39,l59_cp2_10,59,cp2,cp2_l59,cp1,cp1_l59,2025-08-16 19:49:00,19:49,2025-08-16 19:49:00,19.833333333333332,0.0718758012425295,20.373248253598007,400.0,34.0
40,l60_cp1_1,60,cp1,cp1_l60,cp2,cp2_l60,2025-08-16 06:00:00,06:00,2025-08-16 06:00:00,6.0,0.06452552683408863,20.626975930754313,0.0,55.0
41,l60_cp1_3,60,cp1,cp1_l60,cp2,cp2_l60,2025-08-16 06:58:00,06:58,2025-08-16 06:58:00,6.975238945142027,0.10006967588694012,15.0,58.0,76.0
42,l60_cp1_5,60,cp1,cp1_l60,cp2,cp2_l60,2025-08-16 09:00:00,09:00,2025-08-16 09:00:00,9.015755353758498,0.0638489792824155,20.734079825226928,122.0,55.0
