,trip_id,line,start_cp,start_cp_id,dest_cp,dest_cp_id,departure_time,departure_time_str,datetime_obj,datetime_float,pdf,speed,departure_interval,planned_travel_time
0,l4_cp1_1,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 05:49:00,05:49,2025-08-16 05:49:00,5.833333333333333,0.057384656442490016,20.01020435481923,0.0,72.0
1,l4_cp1_3,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 05:54:00,05:54,2025-08-16 05:54:00,5.90719811754065,0.06053847830677241,19.687728439815785,5.0,73.0
2,l4_cp1_5,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 05:58:00,05:58,2025-08-16 05:58:00,5.977165514379567,0.06354333092740456,19.380484518000518,4.0,74.0
3,l4_cp1_7,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 06:02:00,06:02,2025-08-16 06:02:00,6.033445652365538,0.06596401934799483,19.1329709465434,4.0,75.0
4,l4_cp1_9,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 06:12:00,06:12,2025-08-16 06:12:00,6.209098498157165,0.07346020799784186,18.366491291723737,10.0,78.0
5,l4_cp1_11,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 06:21:00,06:21,2025-08-16 06:21:00,6.352004437998715,0.07937596587307683,17.761609495652703,9.0,81.0
6,l4_cp1_13,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 06:25:00,06:25,2025-08-16 06:25:00,6.431270605195864,0.08253666192816585,17.43843069980637,4.0,83.0
7,l4_cp1_15,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 06:36:00,06:36,2025-08-16 06:36:00,6.612603132092953,0.08930583993172377,16.746287337100874,11.0,86.0
8,l4_cp1_17,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 06:41:00,06:41,2025-08-16 06:41:00,6.684793788073128,0.09177873923608175,16.49343524202363,5.0,87.0
9,l4_cp1_19,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 06:47:00,06:47,2025-08-16 06:47:00,6.793830363685789,0.09522515594681871,16.141041723903683,6.0,89.0
10,l4_cp1_21,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 06:55:00,06:55,2025-08-16 06:55:00,6.923036976980298,0.09879887459486907,15.775631678381936,8.0,91.0
11,l4_cp1_23,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 07:00:00,07:00,2025-08-16 07:00:00,7.0004794661373015,0.10064625127814918,15.586738801126064,5.0,92.0
12,l4_cp1_25,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 07:05:00,07:05,2025-08-16 07:05:00,7.0928928858990545,0.1025377182859246,15.393337721331724,5.0,94.0
13,l4_cp1_27,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 07:10:00,07:10,2025-08-16 07:10:00,7.173098916930717,0.10388799765753014,15.255272670543622,5.0,94.0
14,l4_cp1_29,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 07:16:00,07:16,2025-08-16 07:16:00,7.273490530914857,0.10517857031692113,15.123312586199976,6.0,95.0
15,l4_cp1_31,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 07:20:00,07:20,2025-08-16 07:20:00,7.334352888886243,0.1057379118606034,15.066120333796267,4.0,96.0
16,l4_cp1_33,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 07:26:00,07:26,2025-08-16 07:26:00,7.435116521955568,0.10628514937156668,15.010165709639887,6.0,96.0
17,l4_cp1_35,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 07:32:00,07:32,2025-08-16 07:32:00,7.547921502127578,0.1063303586840363,15.005543091422153,6.0,96.0
18,l4_cp1_37,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 07:36:00,07:36,2025-08-16 07:36:00,7.614289302207502,0.10607628886354178,15.031521539592172,4.0,96.0
19,l4_cp1_39,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 07:41:00,07:41,2025-08-16 07:41:00,7.690561959698252,0.1055296066248365,15.08741938757755,5.0,95.0
20,l4_cp1_41,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 07:48:00,07:48,2025-08-16 07:48:00,7.812712369089488,0.10409777009248435,15.23382359674828,7.0,95.0
21,l4_cp1_43,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 07:53:00,07:53,2025-08-16 07:53:00,7.8899880203627015,0.1028491814969914,15.361490842116329,5.0,94.0
22,l4_cp1_45,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 08:00:00,08:00,2025-08-16 08:00:00,8.00465747284177,0.10053103353054864,15.598519729213,7.0,92.0
23,l4_cp1_47,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 08:07:00,08:07,2025-08-16 08:07:00,8.12143554708935,0.09763577357753798,15.894557883141008,7.0,91.0
24,l4_cp1_49,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 08:12:00,08:12,2025-08-16 08:12:00,8.206158569270313,0.09522564217838855,16.140992007091153,5.0,89.0
25,l4_cp1_51,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 08:16:00,08:16,2025-08-16 08:16:00,8.272820218530002,0.09316205121802212,16.351992631658266,4.0,88.0
26,l4_cp1_53,4,cp1,cp1_l4,cp2,cp2_l4,2025-08-16 08:21:00,08:21,2025-08-16 08:21:00,8.362781988769852,0.09016514369793466,16.6584241729149,5.0,86.0
