,trip_id,line,start_cp,start_cp_id,dest_cp,dest_cp_id,departure_time,departure_time_str,datetime_obj,datetime_float,pdf,speed,departure_interval,planned_travel_time
0,l4_cp1_1,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 05:49:00,05:49,2025-07-22 05:49:00,5.833333333333333,0.07861730027559857,17.734177948108865,0.0,81.0
1,l4_cp1_3,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 05:56:00,05:56,2025-07-22 05:56:00,5.940811080890586,0.08290986001556395,17.311430075488527,7.0,83.0
2,l4_cp1_5,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 06:00:00,06:00,2025-07-22 06:00:00,6.006413351019633,0.08542851444635084,17.063383253316744,4.0,84.0
3,l4_cp1_7,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 06:05:00,06:05,2025-07-22 06:05:00,6.096954092377589,0.08875151526753153,16.73612129006656,5.0,86.0
4,l4_cp1_9,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 06:11:00,06:11,2025-07-22 06:11:00,6.1976679898495854,0.09220444525703451,16.396063400183557,6.0,88.0
5,l4_cp1_11,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 06:15:00,06:15,2025-07-22 06:15:00,6.259236866568801,0.0941718149740901,16.202309227166584,4.0,89.0
6,l4_cp1_13,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 06:21:00,06:21,2025-07-22 06:21:00,6.362513656139523,0.09719821198130878,15.904257953798268,6.0,91.0
7,l4_cp1_15,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 06:25:00,06:25,2025-07-22 06:25:00,6.424904990173398,0.09884613504427857,15.741964121839139,4.0,91.0
8,l4_cp1_17,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 06:29:00,06:29,2025-07-22 06:29:00,6.4955053061508385,0.10053461522527511,15.575676068155895,4.0,92.0
9,l4_cp1_19,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 06:33:00,06:33,2025-07-22 06:33:00,6.556799447916301,0.10184077763971726,15.447040145663989,4.0,93.0
10,l4_cp1_21,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 06:38:00,06:38,2025-07-22 06:38:00,6.643265006873642,0.10341820644811234,15.291688860334077,5.0,94.0
11,l4_cp1_23,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 06:44:00,06:44,2025-07-22 06:44:00,6.735023721441243,0.10473760837182548,15.161749059802514,6.0,95.0
12,l4_cp1_25,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 06:48:00,06:48,2025-07-22 06:48:00,6.8120491364176425,0.10555276023966415,15.081469753545482,4.0,95.0
13,l4_cp1_27,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 06:55:00,06:55,2025-07-22 06:55:00,6.916866192805351,0.10622136422228418,15.015623049387465,7.0,96.0
14,l4_cp1_29,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 07:00:00,07:00,2025-07-22 07:00:00,7.013999853202694,0.10637999984687159,15.0,5.0,96.0
15,l4_cp1_31,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 07:07:00,07:07,2025-07-22 07:07:00,7.118918260322677,0.10605084563074085,15.032416379284776,7.0,96.0
16,l4_cp1_33,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 07:12:00,07:12,2025-07-22 07:12:00,7.21186573797062,0.1053287494797298,15.103531198916787,5.0,95.0
17,l4_cp1_35,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 07:19:00,07:19,2025-07-22 07:19:00,7.319062602129444,0.10400500541351405,15.233898630423056,7.0,95.0
18,l4_cp1_37,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 07:23:00,07:23,2025-07-22 07:23:00,7.392514655038695,0.10280400459733767,15.352177832300384,4.0,94.0
19,l4_cp1_39,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 07:35:00,07:35,2025-07-22 07:35:00,7.598532023079436,0.09824389491466914,15.801275057276705,12.0,91.0
20,l4_cp1_41,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 07:41:00,07:41,2025-07-22 07:41:00,7.68425374779686,0.09587232103864275,16.034836817994382,6.0,90.0
21,l4_cp1_43,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 07:45:00,07:45,2025-07-22 07:45:00,7.756267266633787,0.09368752243287519,16.25000422826776,4.0,89.0
22,l4_cp1_45,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 07:50:00,07:50,2025-07-22 07:50:00,7.847073315237098,0.09070491924676984,16.543742516883135,5.0,87.0
23,l4_cp1_47,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 07:56:00,07:56,2025-07-22 07:56:00,7.9396964722818,0.0874297335877672,16.86629545817107,6.0,85.0
24,l4_cp1_49,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 08:00:00,08:00,2025-07-22 08:00:00,8.009919103402916,0.08480990771886204,17.124306034565357,4.0,84.0
25,l4_cp1_51,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 08:06:00,08:06,2025-07-22 08:06:00,8.116542792981777,0.0806427702253555,17.534701839635865,6.0,82.0
26,l4_cp1_53,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 08:13:00,08:13,2025-07-22 08:13:00,8.224684676970735,0.07623098324526943,17.969191671640054,7.0,80.0
27,l4_cp1_55,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 08:17:00,08:17,2025-07-22 08:17:00,8.290802887241451,0.07346504845126725,18.241591619644137,4.0,79.0
28,l4_cp1_57,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 08:22:00,08:22,2025-07-22 08:22:00,8.369751580727202,0.07011488306382477,18.571528854362512,5.0,78.0
29,l4_cp1_59,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 08:27:00,08:27,2025-07-22 08:27:00,8.454436535280061,0.06648593890587137,18.92892129979536,5.0,76.0
30,l4_cp1_61,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 08:31:00,08:31,2025-07-22 08:31:00,8.529485866524508,0.06325850865466368,19.246771103963628,4.0,75.0
31,l4_cp1_63,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 08:38:00,08:38,2025-07-22 08:38:00,8.645431669647616,0.0582901851497708,19.736070803773984,7.0,73.0
32,l4_cp1_65,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 08:44:00,08:44,2025-07-22 08:44:00,8.73862431390003,0.05434544443525527,20.12456411455403,6.0,72.0
33,l4_cp1_67,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 08:49:00,08:49,2025-07-22 08:49:00,8.825874700304011,0.05071694699797294,20.48191256520875,5.0,70.0
34,l4_cp1_69,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 08:59:00,08:59,2025-07-22 08:59:00,8.99349467100744,0.0439927882134617,21.144133709121455,10.0,68.0
35,l4_cp1_71,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 09:05:00,09:05,2025-07-22 09:05:00,9.096195613246334,0.040073683691910035,21.530102268542382,6.0,67.0
36,l4_cp1_73,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 09:12:00,09:12,2025-07-22 09:12:00,9.212477211636584,0.0358531742498413,21.945754349373527,7.0,66.0
37,l4_cp1_75,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 09:38:00,09:38,2025-07-22 09:38:00,9.646214138232736,0.022458442234608012,23.264919324770027,26.0,62.0
38,l4_cp1_77,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 09:47:00,09:47,2025-07-22 09:47:00,9.789748998454527,0.0188942001115939,23.615939663748506,9.0,61.0
39,l4_cp1_79,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 09:53:00,09:53,2025-07-22 09:53:00,9.893980729676011,0.01657785412468318,23.844062368507196,6.0,60.0
40,l4_cp1_81,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 10:10:00,10:10,2025-07-22 10:10:00,10.168171285711956,0.011572627021390391,24.33699647730908,17.0,59.0
41,l4_cp1_83,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 10:26:00,10:26,2025-07-22 10:26:00,10.441013542661208,0.008347481555801317,24.654621266959627,16.0,58.0
42,l4_cp1_85,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 10:41:00,10:41,2025-07-22 10:41:00,10.699418052409584,0.00790658602410416,24.698042362847342,15.0,58.0
43,l4_cp1_87,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 10:57:00,10:57,2025-07-22 10:57:00,10.955582735388557,0.01248300698527009,24.247338740126505,16.0,59.0
44,l4_cp1_89,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 11:06:00,11:06,2025-07-22 11:06:00,11.11082012574849,0.019171790597146667,23.588601479929068,9.0,61.0
45,l4_cp1_91,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 11:11:00,11:11,2025-07-22 11:11:00,11.191568085605548,0.024065641641987393,23.106636115797894,5.0,62.0
46,l4_cp1_93,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 11:15:00,11:15,2025-07-22 11:15:00,11.259901618634347,0.028965614598356965,22.624067842160045,4.0,64.0
47,l4_cp1_95,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 11:24:00,11:24,2025-07-22 11:24:00,11.405645633597,0.04142733467832963,21.396789487953352,9.0,67.0
48,l4_cp1_97,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 11:29:00,11:29,2025-07-22 11:29:00,11.485207415605887,0.04903111214892134,20.647940096378655,5.0,70.0
49,l4_cp1_99,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 11:35:00,11:35,2025-07-22 11:35:00,11.587892769282572,0.05906527013939514,19.65973743852971,6.0,73.0
50,l4_cp1_101,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 11:41:00,11:41,2025-07-22 11:41:00,11.685302787126215,0.0681332992728315,18.76668288431391,6.0,77.0
51,l4_cp1_103,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 11:46:00,11:46,2025-07-22 11:46:00,11.769546337737488,0.07505874353016843,18.084638369130634,5.0,80.0
52,l4_cp1_105,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 11:51:00,11:51,2025-07-22 11:51:00,11.857590381862869,0.08091510376983464,17.507881379689827,5.0,82.0
53,l4_cp1_107,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 11:57:00,11:57,2025-07-22 11:57:00,11.955411918143964,0.08535738245648204,17.070388606582377,6.0,84.0
54,l4_cp1_109,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 12:04:00,12:04,2025-07-22 12:04:00,12.081868970552257,0.08758618144387201,16.850887868678825,7.0,85.0
55,l4_cp1_111,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 12:08:00,12:08,2025-07-22 12:08:00,12.135019750005887,0.0873872656803446,16.8704778618195,4.0,85.0
56,l4_cp1_113,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 12:12:00,12:12,2025-07-22 12:12:00,12.200999679585312,0.08632462817272626,16.97513051033823,4.0,85.0
57,l4_cp1_115,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 12:17:00,12:17,2025-07-22 12:17:00,12.289818636182616,0.08373516185788532,17.230151160517895,5.0,84.0
58,l4_cp1_117,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 12:22:00,12:22,2025-07-22 12:22:00,12.379549419672541,0.08019046075953434,17.579247023867474,5.0,82.0
59,l4_cp1_119,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 12:26:00,12:26,2025-07-22 12:26:00,12.444633551211668,0.07730066776114311,17.863845006513813,4.0,81.0
60,l4_cp1_121,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 12:30:00,12:30,2025-07-22 12:30:00,12.510073198555725,0.07430331433039984,18.159035956226305,4.0,79.0
