,trip_id,line,start_cp,start_cp_id,dest_cp,dest_cp_id,departure_time,departure_time_str,datetime_obj,datetime_float,pdf,speed,departure_interval,planned_travel_time
0,l4_cp1_1,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 05:49:00,05:49,2025-07-22 05:49:00,5.833333333333333,0.07861730027559857,17.734486286650036,0.0,81.0
1,l4_cp1_3,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 05:55:00,05:55,2025-07-22 05:55:00,5.925265491032029,0.0823009123724564,17.37172532640185,6.0,83.0
2,l4_cp1_5,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 06:00:00,06:00,2025-07-22 06:00:00,6.016172944899888,0.085795670980107,17.027562598347956,5.0,85.0
3,l4_cp1_7,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 06:05:00,06:05,2025-07-22 06:05:00,6.088867957385566,0.0884626625232454,16.764918110349896,5.0,86.0
4,l4_cp1_9,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 06:14:00,06:14,2025-07-22 06:14:00,6.234097779841318,0.09338250353787123,16.280413715259968,9.0,88.0
5,l4_cp1_11,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 06:20:00,06:20,2025-07-22 06:20:00,6.34454846429841,0.09669779151703656,15.953925198228776,6.0,90.0
6,l4_cp1_13,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 06:25:00,06:25,2025-07-22 06:25:00,6.416945418064085,0.0986438531483129,15.762277661109941,5.0,91.0
7,l4_cp1_15,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 06:31:00,06:31,2025-07-22 06:31:00,6.517760920667978,0.101026431769165,15.527642068207971,6.0,93.0
8,l4_cp1_17,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 06:36:00,06:36,2025-07-22 06:36:00,6.607222281282988,0.10279922339366623,15.353058106836857,5.0,94.0
9,l4_cp1_19,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 06:40:00,06:40,2025-07-22 06:40:00,6.674120396190361,0.10390339276210526,15.24431985486042,4.0,94.0
10,l4_cp1_21,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 06:45:00,06:45,2025-07-22 06:45:00,6.7565681519282625,0.10499285939208586,15.13702952394115,5.0,95.0
11,l4_cp1_23,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 06:50:00,06:50,2025-07-22 06:50:00,6.844901371134048,0.10581744255949757,15.055824833069947,5.0,96.0
12,l4_cp1_25,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 06:55:00,06:55,2025-07-22 06:55:00,6.925008232532202,0.10625175928346071,15.01305345875203,5.0,96.0
13,l4_cp1_27,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 07:00:00,07:00,2025-07-22 07:00:00,7.003699412354178,0.10638430904441601,15.0,5.0,96.0
14,l4_cp1_29,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 07:06:00,07:06,2025-07-22 07:06:00,7.10370197803337,0.10613070589706193,15.024974758155075,6.0,96.0
15,l4_cp1_31,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 07:12:00,07:12,2025-07-22 07:12:00,7.210891640205569,0.10533838871876075,15.10300190457118,6.0,95.0
16,l4_cp1_33,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 07:18:00,07:18,2025-07-22 07:18:00,7.30372334131615,0.1042260303351136,15.212546608188633,6.0,95.0
17,l4_cp1_35,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 07:23:00,07:23,2025-07-22 07:23:00,7.394981911517126,0.1027596271882594,15.356957528686355,5.0,94.0
18,l4_cp1_37,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 07:29:00,07:29,2025-07-22 07:29:00,7.496872210058653,0.10070537307114726,15.559259827767482,6.0,93.0
19,l4_cp1_39,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 07:35:00,07:35,2025-07-22 07:35:00,7.5919288779697585,0.09841565913704603,15.784750135538141,6.0,91.0
20,l4_cp1_41,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 07:40:00,07:40,2025-07-22 07:40:00,7.68133363603889,0.09595731453666918,16.026847138263904,5.0,90.0
21,l4_cp1_43,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 07:46:00,07:46,2025-07-22 07:46:00,7.77629147733554,0.09305079370027551,16.313080395693728,6.0,88.0
22,l4_cp1_45,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 07:50:00,07:50,2025-07-22 07:50:00,7.837995960928703,0.09101375339032576,16.513687484461833,4.0,87.0
23,l4_cp1_47,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 07:57:00,07:57,2025-07-22 07:57:00,7.9530661856147,0.08693946484055443,16.914922138866398,7.0,85.0
24,l4_cp1_49,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 08:01:00,08:01,2025-07-22 08:01:00,8.02137335440885,0.08437254744141776,17.167711356651544,4.0,84.0
25,l4_cp1_51,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 08:05:00,08:05,2025-07-22 08:05:00,8.095290082849411,0.08148956023191337,17.451627029910178,4.0,83.0
26,l4_cp1_53,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 08:09:00,08:09,2025-07-22 08:09:00,8.151241057022169,0.07924493507450327,17.672677009139505,4.0,81.0
27,l4_cp1_55,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 08:16:00,08:16,2025-07-22 08:16:00,8.28049443774656,0.07389903132154066,18.199139928639987,7.0,79.0
28,l4_cp1_57,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 08:20:00,08:20,2025-07-22 08:20:00,8.343624359561227,0.07122815548115743,18.46216694100852,4.0,78.0
29,l4_cp1_59,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 08:26:00,08:26,2025-07-22 08:26:00,8.44296963912842,0.0669785973921564,18.880662084487774,6.0,76.0
30,l4_cp1_61,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 08:31:00,08:31,2025-07-22 08:31:00,8.518383751539123,0.06373593394092397,19.199998560859477,5.0,75.0
31,l4_cp1_63,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-22 08:38:00,08:38,2025-07-22 08:38:00,8.634629819426692,0.05875089181691431,19.69092394068597,7.0,73.0
