,trip_id,line,start_cp,start_cp_id,dest_cp,dest_cp_id,departure_time,departure_time_str,datetime_obj,datetime_float,pdf,speed,departure_interval,planned_travel_time
0,l4_cp1_1,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-27 05:49:00,05:49,2025-07-27 05:49:00,5.833333333333333,0.057384656442490016,20.009801247783145,0.0,72.0
1,l4_cp1_3,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-27 05:56:00,05:56,2025-07-27 05:56:00,5.948123980664319,0.06229485698420209,19.507696373312868,7.0,74.0
2,l4_cp1_5,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-27 06:03:00,06:03,2025-07-27 06:03:00,6.059172049071765,0.0670695989263971,19.01944315775726,7.0,76.0
3,l4_cp1_7,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-27 06:07:00,06:07,2025-07-27 06:07:00,6.124116007939802,0.06985220355117322,18.73490094121136,4.0,77.0
4,l4_cp1_9,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-27 06:12:00,06:12,2025-07-27 06:12:00,6.209818061291542,0.07349053295727664,18.36285444041893,5.0,78.0
5,l4_cp1_11,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-27 06:16:00,06:16,2025-07-27 06:16:00,6.273792417410718,0.07616719871290696,18.089145268703298,4.0,80.0
6,l4_cp1_13,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-27 06:21:00,06:21,2025-07-27 06:21:00,6.364112544255326,0.07986525066099648,17.710991689555872,5.0,81.0
7,l4_cp1_15,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-27 06:25:00,06:25,2025-07-27 06:25:00,6.4188144504869005,0.0820469416598942,17.48789740331873,4.0,82.0
8,l4_cp1_17,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-27 06:29:00,06:29,2025-07-27 06:29:00,6.484154345271405,0.08458359955704574,17.228505086405494,4.0,84.0
9,l4_cp1_19,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-27 06:35:00,06:35,2025-07-27 06:35:00,6.588163011873341,0.08843740327748105,16.8344247190469,6.0,86.0
10,l4_cp1_21,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-27 06:39:00,06:39,2025-07-27 06:39:00,6.655966807019617,0.09080838158657166,16.59197438404641,4.0,87.0
11,l4_cp1_23,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-27 06:43:00,06:43,2025-07-27 06:43:00,6.729716175317378,0.09324292928045425,16.343023602129342,4.0,88.0
12,l4_cp1_25,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-27 06:47:00,06:47,2025-07-27 06:47:00,6.78755874912022,0.09503707158098994,16.159559080275375,4.0,89.0
13,l4_cp1_27,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-27 06:53:00,06:53,2025-07-27 06:53:00,6.890398220287918,0.09795223753585786,15.86146147236818,6.0,91.0
14,l4_cp1_29,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-27 06:57:00,06:57,2025-07-27 06:57:00,6.955060255941468,0.09959082054570537,15.693904056030608,4.0,92.0
15,l4_cp1_31,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-27 07:01:00,07:01,2025-07-27 07:01:00,7.021729816110498,0.1011120523206176,15.538346684616982,4.0,93.0
16,l4_cp1_33,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-27 07:07:00,07:07,2025-07-27 07:07:00,7.1278777997812375,0.1031607840876098,15.328848478189304,6.0,94.0
17,l4_cp1_35,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-27 07:11:00,07:11,2025-07-27 07:11:00,7.191688750875593,0.10416096961341516,15.226571998111691,4.0,95.0
18,l4_cp1_37,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-27 07:16:00,07:16,2025-07-27 07:16:00,7.268704956632819,0.10512737566747847,15.127749722658644,5.0,95.0
19,l4_cp1_39,4,cp1,cp1_l4,cp2,cp2_l4,2025-07-27 07:21:00,07:21,2025-07-27 07:21:00,7.357178218397604,0.10590348467298646,15.048386749298299,5.0,96.0
